,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
108,1988-04-15,5:55,6:27,LONG LAKE,Zoo class 475,,5 to 10,0,N,N,,,Clear,Raptor,6:30,6:03,61,58,,6:21,6:26,White,Red,35,1,2-5 m 3-4 hens,Copulating male ran grouse off ,,,,7,"all copulations were done by unmarked male, 4 males in center with around 30 females, only marked on W/R near the center "
,,,,,,,,,,,,,,,,6:19,,,9 females,6:39,6:44,White,Red,31,,,1 encounter - standoff,,,,,
,,,,,,,,,,,,,,,,6:35,67,60,,6:39,6:44,White,Red,30,1,,no male ecounters,,,,,
,,,,,,,,,,,,,,,,6:36,,,5 females flew,6:52,6:57,Yellow,Red,18,,,,,,,,
,,,,,,,,,,,,,,,,6:59,68,27,W/G on lek in center ,7:12,7:17,Red,,6,0,no hens,fighting with male most of time,,,,,
,,,,,,,,,,,,,,,,7:35,53,11,,7:21,7:27,Green,Orange,3,,,,,,,,
,,,,,,,,,,,,,,,,7:37,,,No hens - so we left males feeding ,7:27,7:32,Green,Orange,2,,,1 encoutner - stanf off,,,,,
,,,,,,,,,,,,,,,,6:30,,,Raptor flew near ridge ,,,,,,,,,,,,,
109,1988-04-16,5:37,,LONG LAKE,Burton,Cannon net,0 to 5,0-5,N,N,Fairly warm,,set,,,5:46,47,?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:52,60,90,Too dark to count -- too many!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1988-04-18,5:45,6:23,LONG LAKE,Johnson,,<5,,N,N,,BBC group taking pictures from the blind,Clear,,,6:09,57,40,,6:17,6:22,Green,,,3,,walking around,Yellow,Orange,,1,lots of fighting B/W male and male + hen/hen . birds moved around a lot possibilty due to BBC in blind. YO would not tolerate any male w/in his area. 
,,,,,,,,,,,,,,,,7:07,,,,6:25,6:30,Yellow,Orange,42,1,Cluster,chased 5 males away,,,,,
,,,,,,,,,,,,,,,,,,,,6:34,6:39,White,Red,,3,,walking around,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,6:45,Yellow,Blue,26,3,,chased 1 male off,,,,,
,,,,,,,,,,,,,,,,,,,,6:51,6:56,Yellow,Orange,,3,,ran all over chased 1 male,,,,,
,,,,,,,,,,,,,,,,,,,,6:57,7:02,White,Red,35,1,,chased 1 male off,,,,,
111,1988-04-20,5:55,6:20,LONG LAKE,Boyce/Morty,,1 to 2,10,N,N,,Night lighted last night,,,,6:00,84,38,hens cluster towards center of lek,6:22,6:27,Yellow,Orange,30,1,,Y/O with # on yellow tag,Green,Red,,1,"Males: W/R, Y/O, G/R, Y/B, R/?, R/R, O/R, G/G. Females: B/B, O/?, O/B. First copulation interrupted by juvenile male. 6:14 female mounted female. 7:05 O/R won confrontation with unmarked. "
,,,,,,,,,,,,,,,,6:56,83,12,,6:40,6:45,White,Red,36,1,,,Green,Red,,1,
,,,,,,,,,,,,,,,,7:36,87,10,,6:40,6:45,Green,Blue,10,1,,2 fights - both standoffs,White,Red,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,Red,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,Red,,1,
112,1988-09-20,5:39,6:23,LONG LAKE,Koeppen,,5,20,N,N,,,Clear no forst or dew,,,5:44,77,11,Too dark to see hens good ,6:24,6:29,White,Red,39,1,,,White,Purple,,1,"GB, YR, WR, YB, WB, GY. Fight YR and unmarked, unmarked won. Fight WR and unmarked, WR won. "
,,,,,,,,,,,,,,,,5:55,85,19,,6:31,6:36,Yellow,Red,31,1,,,,,,,
,,,,,,,,,,,,,,,,6:40,94,9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,82,7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1988-04-22,6:00,,LONG LAKE,Dan Marty,,0,100,Drizzle,N,,,5 in snow cover,,,6:00,32,0,2 strutting (neither marked),6:23,6:28,unmarked,,12,1,,none,,,,,"6:30 - all birds are just lying down in the snow . 6:30 - wind picked up to 5-10mph, 6:32 - eagle perched on fence 1/2 mile off to the SE. 6:45 - birds flew off - 4 left. W/R on lek + flew off at 6:10. O/R - not on lek by road side as you come down the hill"
,,,,,,,,,,,,,,,,6:15,29,3,no strutting (unmarked male not on lek),6:46,6:51,unmarked,,5,1,,they all flew off,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1988-04-24,5:25,6:05,LONG LAKE,Dan Marty,,1,20-Oct,N,N,,,Partly snowy,,,6:37,79,26,,5:50,5:55,Orange,Blue,35,0,no hens,2 fights (ouch),unmarked,,,1,"Female:YO, OO, YB, BO, OB, OP, WW, GY, ?Y.Male:RO, YR, Y?, WO, YB, YO, OB, G?, YW GO"
,,,,,,,,,,,,,,,,6:45,85,16,,6:15,6:20,Unmarked,,38,1,,1,unmarked,,,2,
,,,,,,,,,,,,,,,,,,,,7:15,7:20,Unmarked,,8,0,no hens,1,G,G,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1988-04-25,5:32,6:00,LONG LAKE,Dan Marty,,1 to 2,10,N,N,,,Clear,,,5:35,90,24,,5:45,5:50,9:00,Male,36,1,,2 copulations - 1 standoff,,Red,,1,"Female:BY, OO, YR, WO, B?, Male: YW, YR, YY, W?, WR, YB . 6:45 1/2 of the birds flew off"
,,,,,,,,,,,,,,,,6:00,,8,,6:02,6:07,Yellow,Red,32,1,,,unmarked,,,1,
,,,,,,,,,,,,,,,,6:25,88,5,,6:29,6:34,9:00,Male,37,1,2ft (1/2 the time),,,,,,
,,,,,,,,,,,,,,,,6:45,,3,1/2 the birds flew away,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1988-04-26,5:25,6:08,LONG LAKE,Johnson/Nancy Hudson,,15 to 20,,N,N,,,New snow,,,6:02,87,19,,5:41,5:46,White,Red,26,1,,beat 4 males ,White,Red,,3,WR - he interrupted a cop + beat the sneaky guy up. He interrupted another cop and beat the sneaky guy up. R/W int Y/R - beat Y/R up. Other mating center - unmarked males.  
,,,,,,,,,,,,,,,,6:39,48,43,,6:14,6:19,Yellow,Orange,21,1,,,,,,,
,,,,,,,,,,,,,,,,7:04,32,2,hens walking away,,6:01,Orange,Green,16,3,,won fight ,,,,,
,,,,,,,,,,,,,,,,7:10,,,,,6:10,Red,Orange,5,3,,1 stand off,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6:49,Blue,Green,15,,not close,,,,,,
,,,,,,,,,,,,,,,,,,,,,6:56,Green,Red,35,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1988-04-27,5:00,6:05,LONG LAKE,Burton,,0 to 5,75,N,N,,Good shape ,,Prairie falcon,6:21,5:20,85,0,,,,,,,,,,,,,,"no marked males near females to watch for frequency. Female tags: WG, BR, BY, OO. Wind picked up. 6:21 - prairie falcon (?) over lek. "
,,,,,,,,,,,,,,,,5:35,80,3,2 marked females,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:45,94,8,females wander,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:13,77,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:20,61,2,Several birds flew off,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:42,55,1,wind has picked up,,,,,,,,,,,,,
118,1988-04-28,5:20,6:05,LONG LAKE,Burton,,0 to 5,15-20,N,N,,Warmer today,light frost ,,,5:20,92,3,,6:00,6:05,White,Red,33,1,mere ft,,White ,Red,,5,5:31 - copulation - too dark to see if female marked - male was unmarked. WR male got 1 or 2 copulations. WY female present. 
,,,,,,,,,,,,,,,,5:28,92,8,,6:06,6:11,Yellow,Orange,25,,ft,,Unmarked,,,1,
,,,,,,,,,,,,,,,,5:48,92,11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,74,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,58,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:05,44,2,,,,,,,,,,,,,,
119,1988-04-29,5:15,6:00,LONG LAKE,Dan Marty,,1 to 2,10-May,N,N,,Clear beautiful day,clear,,,6:30,85,6,,5:50,5:55,Yellow,Blue,30,1,,1 standoff - 1 copulation,Yellow,Red,,1,"Male tags: YR, G?, WY, B?, YB, RR. Female tags: YO, YY, RY, YR, ?B. 6:15 1/2 the birds flew off. 6:10 coyote calling in the distance the lek became quiet"
,,,,,,,,,,,,,,,,6:00,85,2,,6:10,6:15,Yellow,Blue,13,0,no hens,,Red,Yellow,,1,
,,,,,,,,,,,,,,,,6:37,37,1,,6:24,6:29,9:00,male,34,1,,1 copulation,Yellow,Yellow,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1988-05-01,5:31,,LONG LAKE,White,,5 to 10,70,,,,Full moon overnight,,,,5:34,79,2,,,,,,,,,,,,,,"marked birds present: males: W/, /W, Y/, Y/, O/. Passed birds in way out of lek - all moving en masse SE. At 5:50 ~ 2/3 birds flew SE - why??"
,,,,,,,,,,,,,,,,5:40,81,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:56,4,0,no strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1988-05-03,4:55,,LONG LAKE,Johnson,,calm,80,N,N,,Bright moon - cloudy,New snow ~1 1/2 - drifts also.  ,,,5:20,87,2,still hard to count,,,,,,,,,unmarked,,,4,Video camera. lots of strutting prior to daybreak. Hens: /W. 
,,,,,,,,,,,,,,,,5:50,87,9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1988-05-04,5:35,6:03,LONG LAKE,Boyce,,0,0,N,N,,S breeze picked up at 6:47,dry,,,5:40,88,11,,6:18,6:23,Green,Orange,11,1,,,unmarked ,,,1,"males: YO, W?, RR, YR, ?W, GO, B?, OR, Y?. Female:YY, WB . RR standoff fight. OR still in same postion by E. wood stake"
,,,,,,,,,,,,,,,,6:45,14,1,,6:18,6:23,Yellow,Orange,0,1,,,unmarked ,,,1,
,,,,,,,,,,,,,,,,6:55,14,1,,6:35,6:40,Orange,Red,23,3,,brief standoff,unmarked ,,,1,
,,,,,,,,,,,,,,,,7:05,2,0,,6:47,6:52,Orange,Red,31,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:56,7:01,Yellow,,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1988-05-05,5:20,6:00,LONG LAKE,Boyce,,1 to 2,15,N,N,,Moonlight last night,dry,Large hawk,5:46,5:25,92,4,females appear to be leaving lek,,,,,,,,I did a (?) of there but nobody strutted whilst watching,,,,,"Males supper tuckered from strutting all night long . 5:46 large hawk flew over lek. YR declined copulation with unmarked male at 6:18. Males: BO,RW,YB,GR,W?,YR,YO,RG,?W"
,,,,,,,,,,,,,,,,5:50,62,2,,6:30,6:35,Red,Green,14,1,,,,,,,
,,,,,,,,,,,,,,,,6:27,26,2,birds left at 6:55,6:35,6:40,Red,Green,26,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,Green,Red,16,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1988-05-06,5:20,5:55,LONG LAKE,Dan Marty/Bruce Sciqlian,,1,10,N,N,,,Great,,,5:28,75,1,,5:37,5:42,Yellow,Red,0,0,no hens,,,,,,"males: RW,WW,GR,YW,W?,Y?,YO,YG,B?. "
,,,,,,,,,,,,,,,,6:05,97,0,,5:37,5:42,unmarked,,36,0,no hens,,,,,,
