,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
41,1987-04-14,5:51,6:42,NORTH,Cole,,0,clear,N,N,15-20,,Clear,,,6:10,27,46,,6:12,6:17,Red ,Blue,40,,,,Red,Blue,,3,"LR/RB both walked away. P/P strutting left of center. At start of time, he was (?) when he walked over to broken tail, an unmarked, and RP/LP, where there was a hen standing, and him and R/P had a standoff and tail wagging, LR/RB won. LP/RO and B/B got into a fight, B/B walked away. 7:32 - all flew or walked due N. Last standoff to W/O. R/B was in center of 12 females. unlike other days, broken tail was centered around 3 females about 25 feet from R/B. P/P stayed close to R/B who didn't seem to mind his presence but both birs chased away other male who came around. P/P ran 15-20 feet to fight with P/G who was strutting. P/P left but came back. No real winner - standoff. Unmarked copulation - broken tail. "
,,,,,,,,,,,,,,,,6:20,,,B/B is tolerated by LR/RB in center,6:20,6:25,Purple,Purple,32,1,1 always within 5 feet of 2 females,,Unmarked,,,1,
,,,,,,,,,,,,,,,,6:34,25,18,LB/RB female,6:25,6:30,Blue,Blue,3,,,,,,,,
,,,,,,,,,,,,,,,,7:09,23,20,Hens are on N edge of lek and across the road N side of road,6:37,6:42,Red ,Orange,21,,,,,,,,
,,,,,,,,,,,,,,,,7:27,17,12,11 females and 3 males on N side of road,6:44,6:49,Purple,Green,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:16,7:21,Red,Red,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:01,7:06,Red ,Blue,4,,,,,,,,
42,1987-04-15,5:00,6:42,NORTH,Cole,,0,Thin whispy clouds,N,N,~68,,Clear,,,6:00,23,28,"B/B female present. LR/RB, broken tail, P/P in center. ",6:09,6:14,Red,Blue,39,,,,Red,Blue,,4,"R/B - on bottom of left air sac - sore. P/P - has blood spot on left side of neck. Was not affected by pronghorn walking through SW part of lek, walked between birds. 7:08 - 4 female and 3 edge male are walking back towards north. Other birds follow as time progressed, this happened the 14 April too! Unmarked copulation - broken tail. "
,,,,,,,,,,,,,,,,6:09 - 6:14,,,"The B/B female stood next to LR/RB male, stretched her head, continued to follow him and stopped to preen stomach. ",6:22,6:27,White,White,28,1,Next to 4 females on western edge of lek,won fight with unmarked male,Unmarked,,,1,
,,,,,,,,,,,,,,,,6:43,23,12,3 males are still on right side of road but walking toward the N birds. ,6:29,6:34,Purple,Purple,32,,In center,,,,,,
