,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE,
87,Broken Wing,B217,G312,adult,22-Apr,0,0.246527778,0.259027778,-0.0125,4,0,,,
87,Broken Wing,B217,G312,adult,24-Apr,13,0.241666667,0.257638889,-0.015972222,4,0,,,
87,Broken Wing,G314,G315,adult,16-Apr,13,0.257638889,0.267361111,-0.009722222,1,0,,,
87,Broken Wing,G314,G315,adult,17-Apr,32,0.275694444,0.265277778,0.010416667,1,0,,,
87,Broken Wing,G320,P519,adult,24-Apr,21,0.25,0.257638889,-0.007638889,1,0,,,
87,Broken Wing,G320,P519,adult,09-Apr,18,0.297222222,0.276388889,0.020833333,4,0,,,
87,Broken Wing,G320,P519,adult,09-Apr,27,0.28125,0.276388889,0.004861111,4,0,,,
87,Broken Wing,G320,P519,adult,10-Apr,11,0.281944444,0.276388889,0.005555556,4,0,,,
87,Broken Wing,G320,P519,adult,22-Apr,0,0.250694444,0.259027778,-0.008333333,4,0,,,
87,Broken Wing,G348,W415,adult,16-Apr,0,0.251388889,0.267361111,-0.015972222,2,0,,,
87,Broken Wing,o,r,juven,24-Apr,5,0.26875,0.257638889,0.011111111,0,0,,,
87,Broken Wing,O21,O20,adult,24-Apr,23,0.253472222,0.257638889,-0.004166667,1,0,,,
87,Broken Wing,O21,O20,adult,17-Apr,25,0.280555556,0.265277778,0.015277778,1,0,,,
87,Broken Wing,O21,O20,adult,10-Apr,2,0.291666667,0.276388889,0.015277778,4,0,,,
87,Broken Wing,O21,O20,adult,22-Apr,0,0.284027778,0.259027778,0.025,4,0,,,
87,Broken Wing,P521,R121,adult,24-Apr,20,0.259722222,0.257638889,0.002083333,4,0,,,
87,Broken Wing,P521,R121,adult,10-Apr,14,0.295833333,0.276388889,0.019444444,4,0,,,
87,Broken Wing,P521,R121,juven,09-Apr,7,0.321527778,0.276388889,0.045138889,4,0,,,
87,Broken Wing,P524,P523,adult,24-Apr,24,0.253472222,0.257638889,-0.004166667,1,0,,,
87,Broken Wing,P524,P523,adult,17-Apr,17,0.285416667,0.265277778,0.020138889,3,0,,,
87,Broken Wing,P524,P523,adult,22-Apr,0,0.269444444,0.259027778,0.010416667,4,0,,,
87,Broken Wing,P524,P523,adult,10-Apr,3,0.291666667,0.276388889,0.015277778,4,0,,,
87,Broken Wing,R124,B224,adult,17-Apr,30,0.252777778,0.265277778,-0.0125,3,0,,,
87,Broken Wing,sore,G311,adult,10-Apr,6,0.30625,0.276388889,0.029861111,4,0,,,
87,Broken Wing,W418,W423,adult,14-Apr,22,0.263888889,0.270833333,-0.006944444,1,0,,,
87,Broken Wing,W418,W423,adult,17-Apr,10,0.297222222,0.265277778,0.031944444,1,0,,,
87,Broken Wing,W418,W423,adult,10-Apr,17,0.275,0.276388889,-0.001388889,4,0,,,
87,Broken Wing,W418,W423,adult,24-Apr,9,0.241666667,0.257638889,-0.015972222,4,0,,,
87,Broken Wing,W418,W423,adult,09-Apr,18,0.314583333,0.276388889,0.038194444,4,0,,,
87,Broken Wing,W418,W423,adult,09-Apr,17,0.292361111,0.276388889,0.015972222,4,0,,,
87,Broken Wing,W423,W418,adult,24-Apr,1,0.275,0.257638889,0.017361111,0,0,,,
87,Broken Wing,W448,G307,adult,17-Apr,28,0.266666667,0.265277778,0.001388889,1,0,,,
87,Broken Wing,W448,G307,adult,16-Apr,0,0.308333333,0.267361111,0.040972222,3,0,,,
87,Broken Wing,W512,R117,juven,24-Apr,30,0.281944444,0.257638889,0.024305556,0,0,,,
87,Broken Wing,W512,R117,juven,22-Apr,23,0.279166667,0.259027778,0.020138889,4,0,,,
87,Broken Wing,W512,R117,juven,22-Apr,25,0.256944444,0.259027778,-0.002083333,4,0,,,
,,,,,,,,, ,,,,,
