"lek_name","egg_number","year_pip","month_pip","day_pip","initial_band_leg","initial_band_number","second_band_leg","second_band_number","WYGF_leg_band_number","year_death","month_death","day_death","cause_death","observation_num","year","month","day","time24h","days_after_hatch","approx_days_after_hatch","weight_g","total_length_mm","wing_length_mm","tarsus_length_mm","toe_length_mm","bill_length_mm","bill_depth_mm","prim_num","notes","days_diff"
"sybille_springs","SS3-3",1990,5,31,"right",NA,"right",25,1716,NA,NA,NA,NA,4,1990,7,11,NA,40,NA,650,NA,NA,NA,NA,NA,NA,NA,"Badly infected and swollen toes. Moved to Red Butte 23 June 90. Moved outside July 11 1990. ",36
"sybille_springs","SS1-7",1990,6,8,NA,NA,NA,133,1717,1990,8,7,NA,1,1990,6,18,NA,8,NA,70.9,NA,75,28,29,NA,NA,NA,"Toe? preclud - isolated for 2 day June 17 + 18. Moved to RB July 04, moved outside 18 July 90. Male? ",0
"sybille_springs","SS1-7",1990,6,8,NA,NA,NA,133,1717,1990,8,7,NA,2,1990,7,18,NA,38,NA,550,NA,NA,NA,NA,NA,NA,NA,"Toe? preclud - isolated for 2 day June 17 + 18. Moved to RB July 04, moved outside 18 July 90. Male? ",30
"sybille_springs","SS3-8",1990,6,1,NA,NA,"left",20,1709,NA,NA,NA,NA,1,1990,6,5,NA,2,NA,34.7,NA,38,22,21,NA,NA,7,"Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",0
"sybille_springs","SS3-8",1990,6,1,NA,NA,"left",20,1709,NA,NA,NA,NA,2,1990,6,7,NA,4,NA,47.1,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",2
"sybille_springs","SS3-8",1990,6,1,NA,NA,"left",20,1709,NA,NA,NA,NA,3,1990,6,23,NA,20,NA,201.7,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",18
"sybille_springs","SS3-8",1990,6,1,NA,NA,"left",20,1709,NA,NA,NA,NA,4,1990,7,18,NA,45,NA,600,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved outside 11 July 90. ",43
"sybille_springs","SS3-7",1990,5,31,NA,NA,"right",23,NA,NA,NA,NA,NA,1,1990,6,5,NA,4,NA,51.6,NA,46,27,26,NA,NA,7,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",0
"sybille_springs","SS3-7",1990,5,31,NA,NA,"right",23,NA,NA,NA,NA,NA,2,1990,6,7,NA,6,NA,60.7,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",2
"sybille_springs","SS3-7",1990,5,31,NA,NA,"right",23,NA,NA,NA,NA,NA,3,1990,6,23,NA,22,NA,241.6,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",18
"sybille_springs","SS3-7",1990,5,31,NA,NA,"right",23,NA,NA,NA,NA,NA,4,1990,7,4,NA,33,NA,575,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",29
"sybille_springs","SS3-6",1990,5,31,NA,NA,"left",126,1710,NA,NA,NA,NA,1,1990,6,5,NA,3,NA,45.1,NA,45,28,24,NA,NA,8,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",0
"sybille_springs","SS3-6",1990,5,31,NA,NA,"left",126,1710,NA,NA,NA,NA,2,1990,6,7,NA,5,NA,58.7,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",2
"sybille_springs","SS3-6",1990,5,31,NA,NA,"left",126,1710,NA,NA,NA,NA,3,1990,6,23,NA,21,NA,241.6,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",18
"sybille_springs","SS3-6",1990,5,31,NA,NA,"left",126,1710,NA,NA,NA,NA,4,1990,7,4,NA,32,NA,500,NA,NA,NA,NA,NA,NA,NA,"Moved to Red Butte 23 June 90. Moved to outdoor pens 04 July 90. ",29
"sybille_springs","SS3-5",1990,5,31,"left","SS3-5","left",22,NA,1990,7,18,"destroyed - couldn't walk",1,1990,6,5,NA,4,NA,45.6,NA,50,24,26,NA,NA,7,"Toe cross(?) at hatch. Crippled left leg. Moved to Red Butte, 23 June 90. ",0
"sybille_springs","SS3-5",1990,5,31,"left","SS3-5","left",22,NA,1990,7,18,"destroyed - couldn't walk",2,1990,6,7,NA,6,NA,56.8,NA,NA,NA,NA,NA,NA,NA,"Toe cross(?) at hatch. Crippled left leg. Moved to Red Butte, 23 June 90. ",2
"sybille_springs","SS3-5",1990,5,31,"left","SS3-5","left",22,NA,1990,7,18,"destroyed - couldn't walk",3,1990,6,23,NA,22,NA,163,NA,NA,NA,NA,NA,NA,NA,"Toe cross(?) at hatch. Crippled left leg. Moved to Red Butte, 23 June 90. ",18
"sybille_springs","SS3-4",1990,5,31,NA,NA,"left",21,1722,NA,NA,NA,NA,1,1990,6,5,NA,3,NA,36.4,NA,41,22,NA,NA,NA,7,"Had to help out of shell. Moved to Red Butte 23 June 90. Moved outside 18 July 1990. 05 June toe length listed as 722, replaced with NA. ",0
"sybille_springs","SS3-4",1990,5,31,NA,NA,"left",21,1722,NA,NA,NA,NA,2,1990,6,7,NA,5,NA,47.9,NA,NA,NA,NA,NA,NA,NA,"Had to help out of shell. Moved to Red Butte 23 June 90. Moved outside 18 July 1990. 05 June toe length listed as 722, replaced with NA. ",2
"sybille_springs","SS3-4",1990,5,31,NA,NA,"left",21,1722,NA,NA,NA,NA,3,1990,6,23,NA,21,NA,175,NA,NA,NA,NA,NA,NA,NA,"Had to help out of shell. Moved to Red Butte 23 June 90. Moved outside 18 July 1990. 05 June toe length listed as 722, replaced with NA. ",18
"sybille_springs","SS3-4",1990,5,31,NA,NA,"left",21,1722,NA,NA,NA,NA,4,1990,7,18,NA,46,NA,700,NA,NA,NA,NA,NA,NA,NA,"Had to help out of shell. Moved to Red Butte 23 June 90. Moved outside 18 July 1990. 05 June toe length listed as 722, replaced with NA. ",43
"sybille_springs",NA,NA,NA,NA,"left","127",NA,NA,NA,1990,7,12,"stress? ",1,1990,6,25,NA,NA,13,65.2,NA,NA,NA,NA,NA,NA,NA,"Found by Neimuth at Sybille by hen. 25 June 90. ~12-14 days old. ",0
"sybille_springs",NA,NA,NA,NA,"right","128",NA,NA,NA,1990,7,10,"pecked to death ",1,1990,6,25,NA,NA,13,66.8,NA,NA,NA,NA,NA,NA,NA,"Found by Neimuth at Sybille by side of road 25 June 90, ~12-14 days old. ",0
