,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE
90,North,R1752,B1624,adult,18-Apr,22,0.273611111,0.265277778,-0.008333333,3,,,
90,North,R1752,B1624,adult,05-Apr,0,0.316666667,0.278472222,-0.038194444,3,,,
90,North,R1752,B1624,adult,02-May,6,0.295833333,0.248611111,-0.047222222,3,,,
90,North,R1752,B1624,adult,04-Apr,15,0.3125,0.279166667,-0.033333333,3,,,
90,North,R1754,Y1271,adult,11-Apr,6,0.306944444,0.273611111,-0.033333333,3,,,
90,North,R1754,Y1271,adult,07-Apr,3,0.286111111,0.278472222,-0.007638889,3,,,
90,North,R181,W480,adult,30-Mar,13,0.254166667,0.247916667,-0.00625,3,,,
90,North,W1476,O1380,juven,27-Apr,22,0.26875,0.254861111,-0.013888889,0,,,
90,North,W1476,O1380,juven,22-Apr,26,0.30625,0.263888889,-0.042361111,0,,,
90,North,W1476,O1380,juven,22-Apr,19,0.310416667,0.263888889,-0.046527778,0,,,
90,North,W1476,O1380,juven,25-Apr,4,0.263194444,0.256944444,-0.00625,0,,,
90,North,W1476,O1380,juven,12-Apr,32,0.306944444,0.270833333,-0.036111111,2,,,
90,North,W1476,O1380,juven,07-May,25,0.2625,0.245138889,-0.017361111,3,,,
90,North,W1476,O1380,juven,18-Apr,29,0.286805556,0.265277778,-0.021527778,3,,,
90,North,W1476,O1380,juven,15-Apr,34,0.270833333,0.267361111,-0.003472222,3,,,
90,North,W1476,O1380,juven,02-May,22,0.276388889,0.248611111,-0.027777778,3,,,
90,North,W1476,O1380,juven,14-Apr,12,0.277777778,0.26875,-0.009027778,3,,,
90,North,W481,G388,adult,18-Apr,0,0.305555556,0.265277778,-0.040277778,3,,,
90,North,W660,Y1113,adult,28-Mar,6,0.288888889,0.249305556,-0.039583333,0,,,
90,North,W660,Y1113,adult,27-Apr,0,0.282638889,0.254861111,-0.027777778,0,,,
90,North,W660,Y1113,adult,07-Apr,39,0.274305556,0.278472222,0.004166667,1,,,
90,North,W660,Y1113,adult,16-Apr,33,0.299305556,0.265972222,-0.033333333,1,,,
90,North,W660,Y1113,adult,05-Apr,35,0.30625,0.278472222,-0.027777778,1,,,
90,North,W660,Y1113,adult,15-Apr,31,0.275694444,0.267361111,-0.008333333,1,,,
90,North,W660,Y1113,adult,14-Apr,30,0.265972222,0.26875,0.002777778,1,,,
90,North,W660,Y1113,adult,04-Apr,39,0.2875,0.279166667,-0.008333333,1,,,
90,North,W660,Y1113,adult,07-May,29,0.265972222,0.245138889,-0.020833333,1,,,
90,North,W660,Y1113,adult,18-Apr,25,0.283333333,0.265277778,-0.018055556,2,,,
90,North,W660,Y1113,adult,12-Apr,13,0.311111111,0.270833333,-0.040277778,3,,,
90,North,W660,Y1113,adult,30-Mar,20,0.248611111,0.247916667,-0.000694444,3,,,
90,North,W660,Y1113,adult,02-May,22,0.272222222,0.248611111,-0.023611111,3,,,
90,North,W660,Y1113,adult,23-Apr,6,0.253472222,0.261111111,0.007638889,3,,,
90,North,W660,Y1113,adult,23-Mar,12,0.257638889,0.250694444,-0.006944444,3,,,
90,North,W660,Y1113,adult,25-Mar,9,0.251388889,0.25,-0.001388889,3,,,
90,North,WB1630,W1418,adult,18-Apr,10,0.311805556,0.265277778,-0.046527778,3,,,
90,North,WB1630,W1418,adult,07-May,35,0.2875,0.245138889,-0.042361111,3,,,
90,North,WB1630,W1418,adult,02-May,20,0.309722222,0.248611111,-0.061111111,3,,,
90,North,WG1503,W1408,adult,02-May,5,0.257638889,0.248611111,-0.009027778,3,,,
90,North,WG1503,W1408,adult,23-Apr,0,0.275694444,0.261111111,-0.014583333,3,,,
90,North,WO1372,O1373,adult,15-Apr,20,0.284027778,0.267361111,-0.016666667,1,,,
90,North,WO1372,O1373,adult,18-Apr,0,0.264583333,0.265277778,0.000694444,3,,,
90,North,WO1389,W1444,adult,07-May,36,0.279166667,0.245138889,-0.034027778,3,,,
90,North,WO1389,W1444,adult,02-May,0,0.300694444,0.248611111,-0.052083333,3,,,
90,North,WO1389,W1444,adult,18-Apr,0,0.302777778,0.265277778,-0.0375,3,,,
90,North,WR1757,R1760,adult,22-Apr,19,0.304166667,0.263888889,-0.040277778,0,,,
90,North,WR1757,R1760,adult,25-Apr,14,0.277777778,0.256944444,-0.020833333,0,,,
90,North,WR1757,R1760,adult,27-Apr,12,0.26875,0.254861111,-0.013888889,0,,,
90,North,WR1757,R1760,adult,23-Apr,25,0.261111111,0.261111111,0,2,,,
90,North,WR1757,R1760,adult,12-Apr,29,0.309027778,0.270833333,-0.038194444,2,,,
90,North,WR1757,R1760,adult,02-May,26,0.26875,0.248611111,-0.020138889,2,,,
90,North,WR1757,R1760,adult,15-Apr,22,0.264583333,0.267361111,0.002777778,3,,,
90,North,WR1757,R1760,adult,13-May,8,0.253472222,0.239583333,-0.013888889,3,,,
90,North,WR1757,R1760,adult,10-Apr,21,0.279166667,0.275,-0.004166667,3,,,
90,North,WR1757,R1760,adult,18-Apr,21,0.290277778,0.265277778,-0.025,3,,,
90,North,WR1757,R1760,adult,07-May,25,0.273611111,0.245138889,-0.028472222,3,,,
90,North,wy,w,,22-Apr,18,0.311805556,0.263888889,-0.047916667,0,,,
90,North,wy,w,,23-Apr,11,0.275694444,0.261111111,-0.014583333,3,,,
90,North,WY1239,Y1263,adult,27-Apr,0,0.25625,0.254861111,-0.001388889,0,,,
90,North,WY1239,Y1263,adult,25-Apr,0,0.26875,0.256944444,-0.011805556,0,,,
90,North,WY1239,Y1263,adult,25-Apr,8,0.29375,0.256944444,-0.036805556,0,,,
90,North,WY1239,Y1263,adult,11-Apr,19,0.315277778,0.273611111,-0.041666667,1,,,
90,North,WY1239,Y1263,adult,07-May,22,0.261805556,0.245138889,-0.016666667,2,,,
90,North,WY1239,Y1263,adult,12-Apr,23,0.302777778,0.270833333,-0.031944444,2,,,
90,North,WY1239,Y1263,adult,23-Apr,0,0.248611111,0.261111111,0.0125,3,,,
90,North,WY1239,Y1263,adult,22-Apr,6,0.29375,0.263888889,-0.029861111,3,,,
90,North,WY1239,Y1263,adult,10-Apr,24,0.2875,0.275,-0.0125,3,,,
90,North,WY1239,Y1263,adult,18-Apr,12,0.266666667,0.265277778,-0.001388889,3,,,
90,North,WY1239,Y1263,adult,02-May,16,0.282638889,0.248611111,-0.034027778,3,,,
90,North,WY1239,Y1263,adult,15-Apr,1,0.305555556,0.267361111,-0.038194444,3,,,
90,North,WY1239,Y1263,adult,14-Apr,0,0.260416667,0.26875,0.008333333,3,,,
90,North,Y1272,W1413,adult,02-May,29,0.254166667,0.248611111,-0.005555556,2,1,,
90,North,Y1272,W1413,adult,18-Apr,16,0.315972222,0.265277778,-0.050694444,3,,,
90,North,Y1272,W1413,adult,07-Apr,0,0.296527778,0.278472222,-0.018055556,3,,,
90,North,Y1272,W1413,adult,07-May,0,0.3,0.245138889,-0.054861111,3,1,,
90,North,Y1272,W1413,adult,15-Apr,23,0.293055556,0.267361111,-0.025694444,3,,,
,,,,,,,,,,,,,
,,,,,,,,, ,,,,
