"l_tag","r_tag","year","month","day","lek","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"RB1660","B1661","1989",5,"08","long_lake","adult","0","0.254166667","0.246527778","-0.007638889","3","1","0","0"
"RB1660","B1661","1989",5,"10","long_lake","adult","29","0.239583333","0.245833333","0.00625","1","1","0","0"
"RB1660","B1661","1989",5,"07","long_lake","adult","25","0.240277778","0.247222222","0.006944444","1","1","0","0"
"RB1660","B1661","1989",5,"04","long_lake","adult","26","0.242361111","0.249305556","0.006944444","1","1","0","0"
"RW1429","R1705","1989",5,"04","long_lake","adult","27","0.284027778","0.249305556","-0.034722222","3","0","1","0"
"W1441","R844","1989",5,"07","long_lake","adult","0","0.2625","0.247222222","-0.015277778","3","0","0","1"
"W1441","R844","1989",5,"08","long_lake","adult","5","0.248611111","0.246527778","-0.002083333","3","0","0","1"
"W1441","R844","1989",4,"27","long_lake","adult","20","0.275694444","0.256944444","-0.01875","2","0","0","1"
"W1442","B1609","1989",4,"22","sybille_spgs","adult","24","0.297222222","0.263888889","-0.033333333","3","0","1","1"
"W432","B234","1989",4,"06","north","adult","22","0.304861111","0.278472222","-0.026388889","1","0","0","3"
"W432","B234","1989",4,"08","north","adult","37","0.275","0.277777778","0.002777778","1","0","0","3"
"W432","B234","1989",4,"20","north","adult","11","0.286805556","0.268055556","-0.01875","3","0","0","3"
"W438","B248","1989",5,"02","long_lake","adult","17","0.253472222","0.25","-0.003472222","2","0","0","3"
"W438","B248","1989",5,"04","long_lake","adult","35","0.298611111","0.249305556","-0.049305556","2","0","0","3"
"W438","B248","1989",5,"03","long_lake","adult","36","0.250694444","0.249305556","-0.001388889","1","0","0","3"
"W438","B248","1989",5,"08","long_lake","adult","36","0.243055556","0.246527778","0.003472222","3","0","0","3"
"W470","O31","1989",5,"02","long_lake","adult","35","0.242361111","0.25","0.007638889","1","0","0","3"
"W470","O31","1989",5,"03","long_lake","adult","0","0.261805556","0.249305556","-0.0125","3","0","0","3"
"W481","G388","1989",4,"06","north","adult","15","0.301388889","0.278472222","-0.022916667","3","0","0","3"
"W481","G388","1989",4,"06","north","adult","21","0.284722222","0.278472222","-0.00625","1","0","0","3"
"W612","O730","1989",3,"21","mud_springs","adult","8","0.298611111","0.257638889","-0.040972222","0","0","0",NA
"W619","O725","1989",4,"01","sybille_spgs","adult","21","0.245138889","0.245138889","0","2","0","1","0"
"W619","O725","1989",3,"28","sybille_spgs","adult","19","0.227777778","0.247222222","0.019444444","1","0","1","0"
"W627","B986","1989",4,"14","mud_springs","adult","31","0.265277778","0.275","0.009722222","1","0","1","0"
"W627","B986","1989",4,"15","mud_springs","adult","38","0.256944444","0.274305556","0.017361111","1","0","1","0"
"W627","B986","1989",4,"18","mud_springs","adult","40","0.274305556","0.269444444","-0.004861111","1","0","1","0"
"W627","B986","1989",4,"09","mud_springs","adult","16","0.297916667","0.277777778","-0.020138889","3","0","1","0"
"W627","B986","1989",5,"09","mud_springs","adult","0","0.25","0.246527778","-0.003472222","3","0","1","0"
"W627","B986","1989",4,"13","mud_springs","adult","28","0.278472222","0.275","-0.003472222","1","0","1","0"
"W627","B986","1989",4,"11","mud_springs","adult","19","0.260416667","0.276388889","0.015972222","3","0","1","0"
"W627","B986","1989",4,"30","mud_springs","adult","0","0.281944444","0.252777778","-0.029166667","0","0","1","0"
"W627","B986","1989",3,"23","mud_springs","adult","5","0.256944444","0.253472222","-0.003472222","0","0","1","0"
"W627","B986","1989",4,"03","mud_springs","adult","8","0.324305556","0.279861111","-0.044444444","3","0","1","0"
"W627","B986","1989",3,"22","mud_springs","adult","19","0.283333333","0.256944444","-0.026388889","0","0","1","0"
