,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,,,
,,,,,,,,,,,,,,,,6:45,31(29+2),8,,6:18,6:23,G,B,32,1,,-,G,B,,1,,,
,,,,,,,,,,,,,,,,,,,,6:23,6:28,W,Y,20,1,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:24,6:29,RW,B(G)?,2,2,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:32,6:37,B,O,40,1,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,6:45,W,R,12,3,,Chased off by male,,,,,,,
71,15-04-1990,6:10,,NORTH,White/Hutchinson,Spotlight,Calm,10,-,-,~ 30,Heavy fog,Clear,,,6:11,16,4,,6:20,6:25,G,B,16,3,,,,,,,"All hens gone 7:30, left at 8:00",,
,,,,,,,,,,,,,,,,7:24,23,1,,6:21,6:26,WR,R,22,3,,Hen  flew off,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:37,6:42,W,Y,31,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:30,6:35,W,O,34,3,,Chased off UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:38,6:43,B1670,O1364,47,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,WO,O,20,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:51,6:56,B,B,37,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:02,7:07,Y,W,23,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:20,7:25,WY,Y,1,3,,-,,,,,,,
72,16-04-1990,6:08,~ 6:30,NORTH,White,None,20 to 25,60,- ,-,37,Thunderstorm moving in,Clear,?,7:12:00 AM; about half males left,6:08,20,2,Almost no activity,6:31,6:36,G,B,29,,On NE side of road,,,,,,7:26 - 5 males flew off. Golden eagle  ~1/2 mile N of lek flew over ~6:10 - bird all ? . G/B + UM male chased female at on NE side of road. From 6:35 - 7:03: no strutting activity at all. From 7:03 - only 1 UM male strutting. Hawks diving at lek all morning. Hard for birds to strut with the wind. 7:13 - ? all lek. Left 7:30,,
,,,,,,,,,,,,,,,,6:30,23,1,"WY/-, WY/-. WRW, BO, GRL1730?",7:11,7:16,W,Y-13,33,,,,,,,,,,
,,,,,,,,,,,,,,,,6:52,23(22+1),0,"-10L-41R, G/B, -B cordingly - prob BB",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:21,12,0,NO ACTIVITY!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:28,4,0,? female W/? - and tags,,,,,,,,,,,,,,,
73,18-04-1990,6:05,6:39,NORTH,White,None,Calm,60,-,-,30,,Clear,None,,6:08,32 +1,1,,6:34,6:39,R,B,22,3,,,,,,,BB -> juven. By 7:05 most strutting stopped - hen gone. 3/4 birds flew at 7:48. 7:48 - left,,
,,,,,,,,,,,,,,,,7:12,31+1,0,,6:18,6:23,B,B,12,3,,,,,,,,,
,,,,,,,,,,,,,,,,7:41,26,1,Hens on road 1/4 m N of lek and leaving,6:21,6:26,WO1372,O,0,3,,(?),,,,,,,
,,,,,,,,,,,,,,,,,,,,6:24,6:29,WY1239,Y1263,12,3,,Standoff UM,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:37,6:42,B1666,Y1263,2,3,,"(?) gone , w/ RB - standoff ",,,,,,,
,,,,,,,,,,,,,,,,,,,,6:41,6:46,B,O1364,29,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:48,6:53,W,Y111-,25,2,,Female passed by,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:53,6:58,W1478,O,29,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:58,7:03,WR,R,21,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,G--60,B--20,2,3,,"Chased off by G/B, when (?) walking away from  east of lek",,,,,,,
,,,,,,,,,,,,,,,,,,,,7:20,7:23,WG?,G--92,0,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:14,7:19,G153-?,R  (?),8,3,,- fiesty,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:16,7:21,WO1372,W,0,3,,- fiesty,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:29,7:34,WB,W,10,3,,Won fight w/UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:35,7:40,O--72,W1413,16,3,,Chased by UM male,,,,,,,
74,21-04-1990,6:16,~ 6:20,NORTH,White/Haliar,None,Calm,10,-,-,30,,Clear,,,6:16,0,0,,,,,,,,,,,,,,Not a bird in sight; saw a few on road near S Fetterman,,
75,22-04-1990,5:51,~ 6:20,NORTH,White,Spotlight,Calm,70,-,-,30,-,Clear,Golden Eagle,6:13,5:51,23 (22+1),2,,6:03,6:08,B,W,16,,Hen passed by,-,,,,,No strutting until 6:58 - eagle left. By 7:03 - 8 birds flew (?). Some birds flying off N - 7:40. Left at 7:40,,
,,,,,,,,,,,,,,,,7:07,15,0,,6:05,6:10,R,B,21,,Hen passed by ,4 UM male - standoff,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,WO1039,Y,6,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:03,7:08,B,O,1,3,,Standoff with UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:13,7:18,B,B,21,3,,Chased off juven,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:18,7:23,WR,R,19,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:21,7:26,W,O,26,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:27,7:32,W1476,O,19,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:29,7:34,Y(?),W,18,3,,Chased off juven,,,,,,,
76,23-04-1990,5:45,~ 6:16,NORTH,White,None,0 to 5,10,-,-,35,-,Clear,?,6:35,5:45,25,1,Too dark to see females,5:58,6:03,B,B,10,-,,,,,,,"Lek back up in 30 sec after predator, dead male found this AM on lek - prob. dead since 01 Apr 90. Female watched them ~ 6:20 and left at 8:00. (?) on lek 6:32",,
,,,,,,,,,,,,,,,,6:46,28,1,At least 2 juveniles,5:58,6:03,WY,Y,0,-,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,28,2,,6:00,6:05,B,O,0,,Fiesty,,,,,,,,
,,,,,,,,,,,,,,,,7:18,26,0,,6:05,6:10,W,Y,6,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:07,6:12,O,W,20,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:13,6:18,G,B,10,,,Fighitng with UM male - standoff,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:16,6:21,WR,R,25,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:28,6:33,R,B,13,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:30,6:35,B,O,9,,,FIghting with UM - won,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:37,6:42,WG1666,W,0,-,,,,,,,,,
