"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,
"year = all, males of unknown malarial status not included",,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,0,0.006,2,90,0,15.862185,-15.862295,,0,0,251.6124027,-15.862295,,,,,
3,3,0.025,3,90,0,10.8014825,-7.8016325,,9,3,60.86546967,-7.8016325,,,,,
3,16,0.002,2,90,0,16.12488188,-0.12499188,,256,16,0.01562297,-0.12499188,,,,,
0,3,-0.013,0,88,0,24.40740875,-21.407439,,9,3,458.2784445,-21.407439,,,,,
3,21,0.020,1,90,0,18.34845812,2.6514719,,441,21,7.030303236,2.6514719,,,,,
3,30,0.013,3,90,0,11.74719125,18.252659,,900,30,333.1595606,18.252659,,,,,
3,5,0.045,3,90,0,9.277840617,-4.2779906,,25,5,18.30120357,-4.2779906,,,,,
3,0,0.019,3,90,0,11.27433688,-11.274487,,0,0,127.1140571,-11.274487,,,,,
3,39,0.031,1,90,0,17.56036747,21.439563,,1521,39,459.6548616,21.439563,,,,,
3,16,0.002,2,90,0,16.12488188,-0.12499188,,256,16,0.01562297,-0.12499188,,,,,
3,29,0.002,2,90,0,16.12488188,12.875008,,841,29,165.765831,12.875008,,,,,
1,37,0.003,1,88,0,19.60940313,17.390527,,1369,37,302.4304293,17.390527,,,,,
1,0,0.013,0,88,0,22.46345191,-22.463482,,0,0,504.6080236,-22.463482,,,,,
0,16,-0.011,0,88,0,24.30232999,-8.30236,,256,16,68.92918157,-8.30236,,,,,
0,7,-0.008,0,88,0,24.0921725,-17.092202,,49,7,292.1433692,-17.092202,,,,,
0,17,0.019,2,88,0,14.81139753,2.1884925,,289,17,4.789499423,2.1884925,,,,,
