regression of strut rate vs. distance to hens and time from sunrise,,,,,,,,,,,,,,,,,
malaria vs. no malaria - 1990. birds of unknown malaria status not included,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,,,,,,struts,,resids,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,values,resids,,,,,,,squared,struts,squared,resids
---------,---------,---------,---------,---------,---------,---------,---------,,,Regression Output:,,,,---------,---------,---------,---------
0,28,0.003,3,90,0,11.56296285,16.437057,,,,,,,784,28,270.1768428,16.437057
0,4,0.049,0,90,0,20.50265242,-16.502632,,,,,,,16,4,272.3368629,-16.502632
0,3,0.028,0,90,0,20.79180277,-17.791783,,,,,,,9,3,316.5475423,-17.791783
0,0,0.020,0,90,0,20.89440451,-20.894385,,,,,,,0,0,436.5753245,-20.894385
1,0,0.001,3,90,0,11.59094514,-11.590925,,,,,,,0,0,134.3495424,-11.590925
0,0,-0.001,3,90,0,11.61892743,-11.618907,,,,,,,0,0,134.9989999,-11.618907
1,0,0.019,0,90,0,20.90373195,-20.903712,,,,,,,0,0,436.9651754,-20.903712
3,29,0.006,1,90,0,17.89585313,11.104167,,,,,,,841,29,123.3025248,11.104167
0,9,-0.003,2,90,0,14.83200972,-5.8319897,,,,,,,81,9,34.01210386,-5.8319897
0,30,-0.001,2,90,0,14.81335486,15.186665,,,,,,,900,30,230.6347938,15.186665
3,34,0.013,1,90,0,17.81190625,16.188114,,,,,,,1156,34,262.0550349,16.188114
3,20,-0.010,3,90,0,11.74018403,8.259836,,,,,,,400,20,68.22489075,8.259836
1,40,0.023,1,90,0,17.67199479,22.328025,,,,,,,1600,40,498.5407004,22.328025
1,1,0.043,3,90,0,11.0312993,-10.031279,,,,,,,1,1,100.6265584,-10.031279
1,0,0.006,3,90,0,11.52565313,-11.525633,,,,,,,0,0,132.8402161,-11.525633
1,20,0.024,2,90,0,14.46823992,5.5317801,,,,,,,400,20,30.60059107,5.5317801
1,21,0.024,3,90,0,11.28313992,9.7168801,,,,,,,441,21,94.41775888,9.7168801
1,2,0.013,3,90,0,11.43237883,-9.4323588,,,,,,,4,2,88.96939253,-9.4323588
1,8,0.049,3,90,0,10.94735242,-2.9473324,,,,,,,64,8,8.686768276,-2.9473324
1,3,0.001,3,90,0,11.59094514,-8.5909251,,,,,,,9,3,73.80399407,-8.5909251
0,9,0.025,3,90,0,11.2738125,-2.2737925,,,,,,,81,9,5.170132333,-2.2737925
1,29,0.026,3,90,0,11.25515764,17.744862,,,,,,,841,29,314.8801274,17.744862
1,37,0.013,1,90,0,17.81190625,19.188114,,,,,,,1369,37,368.1837189,19.188114
1,3,0.032,3,90,0,11.1805382,-8.1805182,,,,,,,9,3,66.92087802,-8.1805182
1,40,0.019,1,90,0,17.71863195,22.281388,,,,,,,1600,40,496.4602512,22.281388
1,0,0.015,0,90,0,20.95969652,-20.959677,,,,,,,0,0,439.3080599,-20.959677
1,36,0.017,1,90,0,17.74661424,18.253406,,,,,,,1296,36,333.1868306,18.253406
1,0,0.003,3,90,0,11.56296285,-11.562943,,,,,,,0,0,133.7016508,-11.562943
1,29,0.005,2,90,0,14.72940799,14.270612,,,,,,,841,29,203.6503669,14.270612
1,8,0.012,0,90,0,21.00633367,-13.006314,,,,,,,64,8,169.1642039,-13.006314
3,0,0.033,0,90,0,20.71718334,-20.717163,,,,,,,0,0,429.2008428,-20.717163
3,29,0.020,1,90,0,17.70930451,11.290715,,,,,,,841,29,127.4802452,11.290715
3,31,0.022,1,90,0,17.68132223,13.318698,,,,,,,961,31,177.3877164,13.318698
3,25,0.031,2,90,0,14.37496563,10.625054,,,,,,,625,25,112.8917725,10.625054
3,6,0.003,3,90,0,11.56296285,-5.5629428,,,,,,,36,6,30.9463326,-5.5629428
0,4,0.037,2,90,0,14.30034617,-10.300326,,,,,,,16,4,106.0967157,-10.300326
1,2,-0.012,3,90,0,11.76816633,-9.7681463,,,,,,,4,2,95.41668214,-9.7681463
1,26,-0.001,2,90,0,14.81335486,11.186665,,,,,,,676,26,125.1414738,11.186665
0,6,-0.005,3,90,0,11.67489201,-5.674872,,,,,,,36,6,32.20417222,-5.674872
