"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,, ,,,,,,,
"year = all, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,6,0.043,0,90,0,19.34082899,-13.340829,,36,6,177.9777184,-13.340829,,,,,
0,3,0.015,3,89,0,11.07246512,-8.0725851,,9,3,65.1666302,-8.0725851,,,,,
0,23,0.049,2,90,0,11.70756182,11.292358,,529,23,127.5173492,11.292358,,,,,
0,0,-0.009,2,90,0,16.78578424,-16.785864,,0,0,281.7652302,-16.785864,,,,,
0,31,0.006,1,90,0,19.07283277,11.927127,,961,31,142.2563585,11.927127,,,,,
0,0,-0.001,3,90,0,12.4796834,-12.479803,,0,0,155.7454829,-12.479803,,,,,
0,9,-0.003,2,90,0,16.23513361,-7.2352136,,81,9,52.34831584,-7.2352136,,,,,
0,30,-0.001,2,90,0,16.11276681,13.887153,,900,30,192.8530184,13.887153,,,,,
0,0,0.007,2,90,0,15.37856598,-15.378646,,0,0,236.5027528,-15.378646,,,,,
0,9,0.025,3,90,0,10.2158975,-1.2160175,,81,9,1.47869856,-1.2160175,,,,,
0,5,0.010,3,90,0,11.56193236,-6.5620524,,25,5,43.0605317,-6.5620524,,,,,
0,0,0.028,0,90,0,20.62568051,-20.62568,,0,0,425.4186755,-20.62568,,,,,
0,12,0.015,3,90,0,11.13364857,0.86623146,,144,12,0.750356942,0.86623146,,,,,
0,28,0.003,3,90,0,12.11258299,15.887297,,784,28,252.406206,15.887297,,,,,
0,0,0.019,0,90,0,21.48224813,-21.482248,,0,0,461.4869791,-21.482248,,,,,
0,22,0.009,2,90,0,15.19501576,6.8049042,,484,22,46.30672117,6.8049042,,,,,
0,0,0.020,0,90,0,21.35988131,-21.359881,,0,0,456.2445163,-21.359881,,,,,
0,6,-0.005,3,90,0,12.84678382,-6.8469038,,36,6,46.88009165,-6.8469038,,,,,
0,4,0.049,0,90,0,18.79017836,-14.790178,,16,4,218.7493653,-14.790178,,,,,
0,0,0.025,3,90,0,10.2158975,-10.216017,,0,0,104.3670033,-10.216017,,,,,
0,3,0.028,0,90,0,20.68686387,-17.686864,,9,3,312.8251582,-17.686864,,,,,
0,35,0.042,3,90,0,8.747495804,26.252384,,1225,35,689.1876657,26.252384,,,,,
0,4,0.037,2,90,0,12.74767961,-8.7477597,,16,4,76.52329977,-8.7477597,,,,,
0,29,0.023,3,89,0,10.39944768,18.600432,,841,29,345.9760706,18.600432,,,,,
0,23,0.040,3,90,0,8.931046071,14.068834,,529,23,197.9320901,14.068834,,,,,
0,25,0.024,3,90,0,10.33826432,14.661616,,625,25,214.9629837,14.661616,,,,,
0,0,-0.002,3,90,0,12.60205021,-12.60217,,0,0,158.8146887,-12.60217,,,,,
0,0,0.007,3,90,0,11.80666598,-11.806786,,0,0,139.4001956,-11.806786,,,,,
0,6,0.052,3,90,0,7.829744821,-1.8298648,,36,6,3.348405186,-1.8298648,,,,,
0,0,0.060,3,90,0,7.156727381,-7.1568474,,0,0,51.22046471,-7.1568474,,,,,
0,27,0.023,1,90,0,17.54324768,9.4567123,,729,27,89.42940752,9.4567123,,,,,
0,0,0.054,3,90,0,7.646194554,-7.6463146,,0,0,58.46612696,-7.6463146,,,,,
0,16,0.064,3,90,0,6.789626935,9.2102531,,256,16,84.82876217,9.2102531,,,,,
0,1,0.052,3,90,0,7.829744821,-6.8298648,,1,1,46.64705319,-6.8298648,,,,,
0,3,0.030,3,90,0,9.78761369,-6.7877337,,9,3,46.07332878,-6.7877337,,,,,
0,34,-0.011,1,90,0,20.54123443,13.458726,,1156,34,181.1373055,13.458726,,,,,
0,30,0.065,1,90,0,13.81106012,16.1889,,900,30,262.0804832,16.1889,,,,,
0,0,0.019,3,90,0,10.76654813,-10.766668,,0,0,115.9211398,-10.766668,,,,,
0,14,0.002,1,90,0,19.37874979,-5.3787898,,196,14,28.93137971,-5.3787898,,,,,
