"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
year = all,,,,,,,,,,,,,,,,,,,
lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
0,21,-0.007638889,1,87,0,0,26.144771,-5.1447705,,441,21,26.4686635,-5.1447705,,,,,,
0,15,0.010416667,1,87,0,0,26.468753,-11.468753,,225,15,131.5322954,-11.468753,,,,,,
0,22.5,0.000347222,1,87,0,0,26.28807,-3.7880704,,506.25,22.5,14.34947736,-3.7880704,,,,,,
0,37,-0.006597222,1,87,0,0,26.163462,10.836538,,1369,37,117.4305558,10.836538,,,,,,
0,34.625,0.005295139,1.125,87,1,0,25.43714,9.1878597,,1198.890625,34.625,84.41676587,9.1878597,,,,,,
1,27.666667,0.008796296,1.3333333,88,0,0,23.933774,3.7328924,,765.4444629,27.666667,13.93448567,3.7328924,,,,,,
1,19.6,0.005416667,1.4,87,0,0,23.371951,-3.7719507,,384.16,19.6,14.22761208,-3.7719507,,,,,,
0,8,0.013888889,1,87,1,0,26.531057,-18.531057,,64,8,343.4000735,-18.531057,,,,,,
0,11.2,-0.017083333,2,88,0,0,18.457593,-7.2575928,,125.44,11.2,52.67265325,-7.2575928,,,,,,
0,12.666667,-0.009722222,2.3333333,88,0,0,16.083775,-3.4171079,,160.4444529,12.666667,11.6766264,-3.4171079,,,,,,
1,27,0.003645833,1,88,1,0,26.34726,0.65274048,,729,27,0.426070134,0.65274048,,,,,,
1,23,0.003472222,1,88,0,0,26.344144,-3.3441443,,529,23,11.1833011,-3.3441443,,,,,,
0,12.5,-0.013888889,2.5,88,0,0,14.756058,-2.2560578,,156.25,12.5,5.089796797,-2.2560578,,,,,,
0,29,0.015972222,1,87,1,0,26.56844,2.4315602,,841,29,5.912485006,2.4315602,,,,,,
0,36,0.007986111,1,87,1,0,26.42514,9.5748601,,1296,36,91.67794593,9.5748601,,,,,,
1,6.5,-0.001388889,3,87,0,0,11.221498,-4.7214983,,42.25,6.5,22.2925462,-4.7214983,,,,,,
0,25,0,1,87,0,0,26.28184,-1.28184,,625,25,1.643113786,-1.28184,,,,,,
0,2,-0.009722222,2,87,0,0,18.589678,-16.589678,,4,2,275.2174161,-16.589678,,,,,,
0,24.25,0.012326389,1.75,87,0,0,20.864738,3.3852622,,588.0625,24.25,11.46000016,3.3852622,,,,,,
0,19.5,0.010763889,2,87,0,0,18.957273,0.54272665,,380.25,19.5,0.294552217,0.54272665,,,,,,
,,,,,,,5.684885988,7.534168507,sums,58153.76152,2430.358924,7280.692928,-43.900504,,,,,,
,,,,,,,,129,squares,,5906644.501,,1927.254252,,,,,,
,,,,,,,,-0.340313985,averages,,18.83999166,,-0.340313985,,,,,,
,,,,,,,,,,129,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,31.5,0.047222222,2,87,0,1,19.611469,11.888531,,992.25,31.5,141.3371693,11.888531,,,,,,
0,22.166667,-0.001388889,2.3333333,87,0,1,16.233305,5.9333617,,491.3611259,22.166667,35.20478106,5.9333617,,,,,,
0,20.5,0.017476852,1.6666667,87,1,1,21.583632,-1.0836317,,420.25,20.5,1.174257661,-1.0836317,,,,,,
0,24,0.005555556,1,87,0,1,26.381527,-2.3815269,,576,24,5.671670375,-2.3815269,,,,,,
0,26.428571,0.011210317,1.5714286,87,1,1,22.18716,4.2414118,,698.4693651,26.428571,17.98957406,4.2414118,,,,,,
0,30,0.00625,1,87,0,1,26.393988,3.6060123,,900,30,13.00332471,3.6060123,,,,,,
0,18.769231,0.018696581,1.7692308,87,0,1,20.834471,-2.0652401,,352.2840323,18.769231,4.265216671,-2.0652401,,,,,,
0,23.4,0.022222222,1,87,0,1,26.680588,-3.2805876,,547.56,23.4,10.762255,-3.2805876,,,,,,
0,35,0.004166667,1,87,0,1,26.356605,8.6433948,,1225,35,74.70827367,8.6433948,,,,,,
0,0,-0.015972222,2,87,0,1,18.47753,-18.47753,,0,0,341.4191149,-18.47753,,,,,,
1,11,0.00625,2,87,0,1,18.876278,-7.8762777,,121,11,62.03575041,-7.8762777,,,,,,
0,16,0.004166667,2,90,0,1,18.838895,-2.8388952,,256,16,8.059325957,-2.8388952,,,,,,
0,7,0.001041667,2.5,90,0,1,15.023966,-8.0239663,,49,7,64.38403518,-8.0239663,,,,,,
1,10.166667,-0.001736111,2.1666667,90,0,1,17.480026,-7.3133595,,103.3611179,10.166667,53.48522718,-7.3133595,,,,,,
0,21.666667,-0.05,3,90,0,1,10.349238,11.317429,,469.4444589,21.666667,128.0841992,11.317429,,,,,,
0,12.3,-0.018541667,2.6,90,0,1,13.920799,-1.620799,,151.29,12.3,2.626989398,-1.620799,,,,,,
1,30,-0.020138889,3,87,0,1,10.885055,19.114945,,900,30,365.3811224,19.114945,,,,,,
0,24,-0.009722222,2,88,0,1,18.589678,5.4103221,,576,24,29.27158523,5.4103221,,,,,,
1,30,-0.022222222,1,88,0,1,25.883092,4.1169076,,900,30,16.94892819,4.1169076,,,,,,
1,31,0.020138889,1,88,1,1,26.643205,4.356795,,961,31,18.98166267,4.356795,,,,,,
0,8.5555556,-0.012962963,2.5555556,88,0,1,14.355022,-5.7994661,,73.19753162,8.5555556,33.63380705,-5.7994661,,,,,,
0,27.5,-0.001388889,2,88,0,1,18.739208,8.7607917,,756.25,27.5,76.75147121,8.7607917,,,,,,
0,30.333333,0.004050926,1.1666667,88,1,1,25.101577,5.2317566,,920.1110909,30.333333,27.37127712,5.2317566,,,,,,
0,24.25,-0.005208333,1.375,88,1,1,23.369242,0.88075771,,588.0625,24.25,0.775734144,0.88075771,,,,,,
1,30.333333,-0.00787037,2,88,0,1,18.622907,11.710426,,920.1110909,30.333333,137.1340771,11.710426,,,,,,
0,12.333333,-0.017361111,2.3333333,88,0,1,15.946705,-3.6133718,,152.1111029,12.333333,13.05645577,-3.6133718,,,,,,
0,11.333333,-0.011226852,2.3333333,88,0,1,16.056776,-4.7234427,,128.4444369,11.333333,22.31091094,-4.7234427,,,,,,
0,24,0.020833333,1,88,0,1,26.655666,-2.6556658,,576,24,7.052560841,-2.6556658,,,,,,
1,27,0.008333333,3,88,0,1,11.39595,15.60405,,729,27,243.4863764,15.60405,,,,,,
0,21,-0.003009259,2.3333333,88,0,1,16.20423,4.7957704,,441,21,22.99941373,4.7957704,,,,,,
0,35.6,-0.014305556,1.4,88,1,1,23.018062,12.581938,,1267.36,35.6,158.3051638,12.581938,,,,,,
0,42,-0.011111111,1,88,0,1,26.082466,15.917534,,1764,42,253.3678886,15.917534,,,,,,
1,20.142857,-0.006547619,1.2857143,88,1,1,24.016435,-3.8735776,,405.7346881,20.142857,15.00460342,-3.8735776,,,,,,
1,14,-0.012037037,2.3333333,88,0,1,16.042238,-2.0422384,,196,14,4.170737682,-2.0422384,,,,,,
0,17.285714,-0.006746032,1.8571429,88,0,1,19.71704,-2.4313259,,298.7959085,17.285714,5.911345632,-2.4313259,,,,,,
0,24.444444,-0.003626543,1.8888889,88,0,1,19.534358,4.9100867,,597.5308425,24.444444,24.1089514,4.9100867,,,,,,
0,27,0.004166667,3,88,0,1,11.321185,15.678815,,729,27,245.8252398,15.678815,,,,,,
0,23.046317,-0.006089674,1.7123684,88,0,1,20.81719,2.2291266,,531.1327273,23.046317,4.969005399,2.2291266,,,,,,
0,19,-0.013194444,1,88,0,1,26.045084,-7.0450836,,361,19,49.63320293,-7.0450836,,,,,,
0,2,-0.020138889,3,88,0,1,10.885055,-8.885055,,4,2,78.94420235,-8.885055,,,,,,
0,0,0.015277778,1,87,0,1,26.555979,-26.555979,,0,0,705.2200206,-26.555979,,,,,,
0,15,0.029861111,1,87,0,1,26.817657,-11.817657,,225,15,139.657017,-11.817657,,,,,,
0,18.749485,0.013523667,2.3975,87,0,1,16.018504,2.7309811,,351.5431878,18.749485,7.458257769,2.7309811,,,,,,
0,10.666667,0.003703704,2.3333333,87,0,1,16.324685,-5.6580179,,113.7777849,10.666667,32.01316656,-5.6580179,,,,,,
0,32.333333,0.019444444,1,87,0,1,26.630744,5.7025892,,1045.444423,32.333333,32.51952358,5.7025892,,,,,,
,12,-0.024,3,89,,1,10.81029,1.1897101,,144,12,1.415410122,1.1897101,,,,,,
0,19,-0.004583333,1.6,87,0,1,21.688972,-2.6889723,,361,19,7.23057203,-2.6889723,,,,,,
,16,-0.013,2,89,,1,18.527374,-2.5273736,,256,16,6.387617314,-2.5273736,,,,,,
0,20,0.000694444,2,87,0,1,18.776591,1.2234091,,400,20,1.496729826,1.2234091,,,,,,
0,27.666667,0.009259259,1,87,0,1,26.447985,1.2186819,,765.4444629,27.666667,1.485185573,1.2186819,,,,,,
0,22,0.005555556,3,87,0,1,11.346107,10.653893,,484,22,113.5054361,10.653893,,,,,,
0,2,0.0125,3,87,0,1,11.470716,-9.4707155,,4,2,89.69445208,-9.4707155,,,,,,
,13,-0.021,1,89,,1,25.908014,-12.908014,,169,13,166.6168254,-12.908014,,,,,,
,24,-0.033,3,89,,1,10.648299,13.351701,,576,24,178.2679196,13.351701,,,,,,
0,22,-0.04375,2,88,0,1,17.979096,4.0209043,,484,22,16.16767139,4.0209043,,,,,,
,11,-0.024,3,89,,1,10.81029,0.18971014,,121,11,0.035989937,0.18971014,,,,,,
,10,-0.013,1.75,89,,1,20.406801,-10.406801,,100,10,108.3015071,-10.406801,,,,,,
1,38.5,0.0046875,1.75,88,1,1,20.727668,17.772332,,1482.25,38.5,315.8557847,17.772332,,,,,,
,0,-0.012,3,89,,1,11.034585,-11.034585,,0,0,121.7620661,-11.034585,,,,,,
,21,-0.014,1.6666667,89,,1,21.016662,-0.016662491,,441,21,0.000277639,-0.016662491,,,,,,
,8.3333333,-0.012,2.6666667,89,,1,13.536335,-5.2030017,,69.44444389,8.3333333,27.07122669,-5.2030017,,,,,,
,12.5,-0.005,2.375,89,,1,15.854648,-3.3546475,,156.25,12.5,11.25365985,-3.3546475,,,,,,
,18,0.009,3,89,,1,11.408411,6.5915888,,324,18,43.44904291,6.5915888,,,,,,
,,,,,,,,8.90440137,sums,30202.26632,1239.805508,4946.472248,43.90219576,,,,,,
,,,,,,,,,squares,,1537117.697,,1927.402792,,,,,,
,,,,,,,,,average,,19.67945251,,0.69686025,,,,,,
,,,,,,,,,,63,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
strutting frequencies of lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
