DATA FILE TO COMPARE STRUTTING FREQUENCY WITH DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,BREEDING STATUS,,,,,,
0=NOT INFECTED,,,1=BREEDER,,,,,,
1=INFECTED,,,0=NON-BREEDER,,,,,,
3=UNKNOWN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BREED,MALARIA,DATE,/5 MIN,RESIDS,,REGRESSION ON ACTUAL DATA,,,BREEDERS
0,0,329,11,-9.7614715,,,,,
0,0,416,27,8.1703181,,,,,
0,0,329,0,-10.441689,,,,,
0,0,329,9,-13.997064,,,,,
0,0,413,34,14.265435,,,,,
0,0,327,16,-8.3277744,,,,,
0,0,401,19,-6.0729721,,,,,
0,0,417,27,9.6607133,,,,,
0,0,420,20,0.37189201,,,,,
0,0,323,7,-4.2933431,,,,,
0,0,327,24,0.52388,,,,,
0,0,413,23,0.85459007,,,,,
0,0,405,15,-9.2213176,,,,,
0,0,403,7,-13.761471,,,,,
0,0,329,2,-22.061632,,,,,
0,0,323,0,-20.388873,,,,,
0,0,405,3,-20.316435,,,,,
0,0,329,5,-7.3046828,,,,,
0,0,327,18,-4.6244656,,,,,
0,0,403,5,-16.293755,,,,,
0,0,401,16,-5.8260395,,,,,
0,0,401,27,6.1320717,,,,,
0,0,323,8,-13.080842,,,,,
0,0,424,13,-0.95476326,,,,,
0,0,410,31,7.0448244,,,,,
0,0,417,32,9.1093924,,,,,
0,0,416,32,7.5125403,,,,,
0,0,417,43,18.778682,,,,,
0,0,402,10,-12.46478,,,,,
0,0,424,10,-1.3997999,,,,,
0,0,422,20,-0.21362042,,,,,
0,0,329,29,9.2122068,,,,,
0,0,329,18,-4.7841508,,,,,
0,0,325,14,-6.4797624,,,,,
0,0,325,0,-12.091769,,,,,
0,0,419,12,-6.2973979,,,,,
0,0,327,6,-17.742262,,,,,
0,0,427,0,-23.635805,,,,,
0,0,413,11,-6.0043492,,,,,
0,0,416,31,8.322306,,,,,
0,0,411,29,6.2690776,,,,,
0,0,411,30,7.0029356,,,,,
0,0,414,13,-3.8978924,,,,,
0,0,425,15,-6.5066691,,,,,
0,0,410,25,4.9460648,,,,,
0,0,424,33,19.737206,,,,,
0,0,417,30,8.9347251,,,,,
0,0,509,3,-12.726868,,,,,
0,0,417,32,16.113447,,,,,
0,0,422,24,5.3832317,,,,,
0,0,414,6,-16.997064,,,,,
0,0,418,3,-10.438046,,,,,
0,0,419,3,-6.2706638,,,,,
0,0,413,22,-1.4228916,,,,,
0,0,416,22,-0.89060757,,,,,
0,0,420,20,-4.008404,,,,,
0,0,402,11,-12.848719,,,,,
0,0,416,0,-10.06909,,,,,
0,0,417,2,-8.3884603,,,,,
0,0,407,27,6.6799228,,,,,
0,0,413,1,-13.6623,,,,,
0,0,405,0,-23.316435,,,,,
0,0,418,2,-8.9207443,,,,,
0,0,502,11,-0.24011472,,,,,
0,0,501,17,-6.47612,,,,,
0,0,430,9,-11.442101,,,,,
0,0,430,21,8.6420888,,,,,
0,0,426,35,12.641676,,,,,
0,0,509,0,-12.091769,,,,,
0,0,509,17,6.1857125,,,,,
0,0,430,3,-8.2401147,,,,,
0,0,426,4,-19.422892,,,,,
0,0,418,18,1.0333122,,,,,
0,0,416,0,-9.1109786,,,,,
0,0,505,27,11.752188,,,,,
0,0,414,24,5.5429169,,,,,
0,0,426,12,1.7179965,,,,,
0,0,505,14,0.66841056,,,,,
0,0,505,7,-12.255509,,,,,
0,0,416,32,14.021973,,,,,
0,0,509,0,-11.506257,,,,,
0,0,506,19,5.6839776,,,,,
0,0,414,14,1.6265218,,,,,
0,0,505,3,-7.0158615,,,,,
0,0,430,18,-2.0539352,,,,,
0,0,426,16,6.1970522,,,,,
0,0,509,1,-9.9739727,,,,,
0,0,415,24,4.7977192,,,,,
0,1,422,24,4.090183,,,,,
0,0,413,25,6.3832317,,,,,
0,3,321,0,-20.229187,,,,,
0,3,426,2,-9.6127135,,,,,
0,0,430,4,-6.1223183,,,,,
0,0,426,1,-11.41114,,,,,
0,0,323,2,-20.677694,,,,,
0,3,408,29,10.11709,,,,,
0,3,408,30,11.862287,,,,,
0,3,415,22,3.8622873,,,,,
0,3,412,21,10.824453,,,,,
0,3,411,22,3.3300033,,,,,
0,0,509,2,-10.677282,,,,,
0,1,430,10,-0.17554667,,,,,
0,3,408,37,18.542917,,,,,
0,1,505,19,7.7066569,,,,,
0,1,430,39,22.421478,,,,,
0,0,426,35,16.809059,,,,,
0,0,414,16,-0.38117542,,,,,
0,1,506,34,18.592503,,,,,
0,0,430,11,-1.3579112,,,,,
0,3,408,29,11.607485,,,,,
0,1,426,30,13.512368,,,,,
0,1,414,24,8.6989597,,,,,
0,3,409,6,-7.5977315,,,,,
0,0,418,0,-10.494917,,,,,
0,3,321,4,-16.548558,,,,,
0,0,422,18,-5.1567496,,,,,
0,3,324,10,-2.996652,,,,,
0,0,413,11,1.7293362,,,,,
0,0,507,2,-19.719583,,,,,
0,0,408,26,8.5010281,,,,,
0,0,406,24,12.91957,,,,,
0,3,406,21,11.729336,,,,,
0,0,408,23,12.877682,,,,,
0,0,512,6,-5.7191703,,,,,
0,0,422,10,-1.5062567,,,,,
0,0,420,2,-14.418837,,,,,
0,3,406,15,0.86998451,,,,,
0,0,415,36,16.797719,,,,,
0,0,406,22,12.995478,,,,,
0,3,330,13,-0.049880417,,,,,
0,3,408,37,18.43646,,,,,
0,1,502,36,18.075201,,,,,
0,1,502,11,-1.5175964,,,,,
0,3,420,11,0.98413854,,,,,
0,0,413,0,-8.631923,,,,,
0,0,420,12,2.5164226,,,,,
0,3,420,0,-10.015861,,,,,
0,3,408,20,2.1284293,,,,,
0,3,406,5,-3.7383798,,,,,
0,0,418,8,-3.8256272,,,,,
0,3,323,6,-15.080842,,,,,
0,0,415,38,20.926855,,,,,
