"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
"year = 1989, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder file and lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,struts/,time,dist,,,predicted,,,,,,,,strut,,resids,,,
malaria,five min,sunrise,to hens,year,breed,values,resids,,,,,,,squared,strut,squared,resids,,
---------,---------,---------,---------,---------,---------,---------,---------,,,,,,,--------,--------,--------,--------,,
1,18,-0.01,0,89,1,20.518471,-2.5184706,,,,,,,324,18,6.342694,-2.5184706,,
1,36,0.03,1,89,0,18.164747,17.835253,,,,,,,1296,36,318.09625,17.835253,,
1,21,-0.01,2,89,0,14.148528,6.8514724,,,,,,,441,21,46.942674,6.8514724,,
1,26,0.03,1,89,1,18.150035,7.8499653,,,,,,,676,26,61.621954,7.8499653,,
1,7,0.00,3,89,0,11.20631,-4.20631,,,,,,,49,7,17.693044,-4.20631,,
1,0,0.06,2,89,1,15.619763,-15.619763,,,,,,,0,0,243.977,-15.619763,,
1,1,0.02,0,89,1,21.195239,-20.195239,,,,,,,1,1,407.84767,-20.195239,,
1,12,0.01,1,89,0,17.841075,-5.8410753,,,,,,,144,12,34.118161,-5.8410753,,
1,0,0.00,0,89,0,20.930416,-20.930416,,,,,,,0,0,438.08233,-20.930416,,
1,11,0.00,3,89,0,11.265159,-0.26515942,,,,,,,121,11,0.070309516,-0.26515942,,
1,24,0.05,0,89,0,21.813158,2.1868423,,,,,,,576,24,4.7822791,2.1868423,,
1,2,0.02,0,89,0,21.209951,-19.209951,,,,,,,4,2,369.02223,-19.209951,,
1,34,0.00,1,89,1,17.546828,16.453172,,,,,,,1156,34,270.70686,16.453172,,
1,19,0.02,3,89,0,11.603544,7.3964564,,,,,,,361,19,54.707568,7.3964564,,
,,,,,,,,,,,,,sum,33504,1192,11863.133,123.97673,,
,,,,,,,,,,,,,square,,1420864,,15370.23,,
,,,,,,,,,,,, ,average,64,18.625,,1.9371364,,
-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,
-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,
"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
"year = 1989, males of unknown malarial status not included",,,,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,struts/,time,dist,,,predicted,,,struts,,resids,,,,,,,,
malaria,five min,sunrise,to hens,year,breed,values,resids,,squared,struts,squared,struts,,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,--------,--------,--------,--------,,,Regression Output:,,,,
0,27,0.01,3,89,0,12.739446,14.260554, ,729,27,203.36341,14.260554,,Constant,,,22.155734,,
3,37,-0.02,1,89,0,19.558802,17.441198, ,1369,37,304.19539,17.441198,,Std Err of Y Est,,,12.402676,,
0,38,0.04,1,89,0,18.204219,19.795781, ,1444,38,391.87296,19.795781,,R Squared,,,0.078470258,,
0,13,0.03,3,89,0,12.163748,0.83625229,,169,13,0.6993179,0.83625229,,No. of Observations,,,266,,
0,16,0.05,1,89,0,17.984099,-1.9840988,,256,16,3.9366478,-1.9840988,,Degrees of Freedom,,,263,,
0,10,0.02,3,89,0,12.587055,-2.587055,,100,10,6.6928536,-2.587055,,,,,,,
0,2,0.02,0,89,0,21.596964,-19.596964,,4,2,384.04101,-19.596964,,X Coefficient(s),,-24.382454,-3.0540998,,
0,2,0.00,3,89,0,12.976498,-10.976498,,4,2,120.4835,-10.976498,,Std Err of Coef.,,45.760667,0.66172908,,
0,23,0.03,3,89,0,12.163748,10.836252,,529,23,117.42436,10.836252,,,,,,,
0,11,0.05,3,89,0,11.892831,-0.89283104,,121,11,0.79714727,-0.89283104,,,,,,,
0,24,0.01,1,89,0,18.88151,5.1184898,,576,24,26.198938,5.1184898,,,,,,,
0,25,0.02,1,89,0,18.695255,6.304745,,625,25,39.74981,6.304745,,,,,,,
3,30,0.02,1,89,0,18.542864,11.457136,,900,30,131.26596,11.457136,,,,,,,
0,36,0.01,1,89,0,18.88151,17.11849,,1296,36,293.04269,17.11849,,,,,,,
3,0,0.03,3,89,0,12.231477,-12.231477,,0,0,149.60903,-12.231477,,,,,,,
1,7,0.03,0,89,0,21.478438,-14.478438,,49,7,209.62518,-14.478438,,,,,,,
0,8,0.01,3,89,0,12.705581,-4.705581,,64,8,22.142493,-4.705581,,,,,,,
1,29,0.04,1,89,0,18.06876,10.93124,,841,29,119.492,10.93124,,,,,,,
0,11,0.04,3,89,0,12.028289,-1.0282894,,121,11,1.057379,-1.0282894,,,,,,,
1,16,0.04,2,89,0,15.01466,0.98533979,,256,16,0.97089451,0.98533979,,,,,,,
0,5,0.01,2,89,0,15.793546,-10.793546,,25,5,116.50063,-10.793546,,,,,,,
3,10,0.00,3,89,0,13.078091,-3.0780915,,100,10,9.474647,-3.0780915,,,,,,,
0,2,0.00,2,89,0,16.081395,-14.081395,,4,2,198.28567,-14.081395,,,,,,,
3,32,0.03,1,89,0,18.271948,13.728052,,1024,32,188.45942,13.728052,,,,,,,
0,10,0.02,3,89,0,12.603987,-2.6039873,,100,10,6.7807498,-2.6039873,,,,,,,
0,26,0.03,1,89,0,18.339677,7.6603231,,676,26,58.68055,7.6603231,,,,,,,
0,12,0.04,3,89,0,11.96056,0.039439792,,144,12,0.001555497,0.039439792,,,,,,,
0,22,0.05,3,89,0,11.80817,10.19183,,484,22,103.87341,10.19183,,,,,,,
3,37,0.02,1,89,0,18.644458,18.355542,,1369,37,336.92592,18.355542,,,,,,,
0,9,0.04,0,89,0,21.190589,-12.190589,,81,9,148.61047,-12.190589,,,,,,,
0,8,0.00,2,89,0,16.064462,-8.0644623,,64,8,65.035552,-8.0644623,,,,,,,
0,10,0.00,0,89,0,22.257324,-12.257324,,100,10,150.24199,-12.257324,,,,,,,
0,12,0.01,3,89,0,12.637852,-0.63785187,,144,12,0.40685501,-0.63785187,,,,,,,
