binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Fecal,samples collected Ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
56,1988-04-16,10:40,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.5,545,149,,253,106,60,60,32,18.7,,,,,,,,,,Blue,Yellow,245,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data,
57,1988-04-16,10:00,,LONG LAKE ,,ADULT,FEMALE ,,,,1.7,588,185,,267,109,63,62,32.1,19.1,,,,,,,,,,Green,Green,376,377,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data,
58,1988-04-16,9:50,,LONG LAKE ,,,FEMALE,,,,1.5,,,,,,,,,,,,,,,,,,,Blue,Orange,283,26,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,,,,RECAP,
59,1988-04-16,9:30,`,LONG LAKE ,,JUVENILE,FEMALE,,,,1.5,570,170,,258,101,61,59,30.4,17.9,,,,,,,,,,Orange,Orange,12,64,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
60,1988-04-16,8:35,,LONG LAKE ,,JUVENILE,FEMALE,,,,1.4,541,159,,240,99,58,58,31.9,18.6,,,,,,,,,,Orange,Yellow,1,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data,
61,1988-04-16,9:00,,LONG LAKE ,,JUVENILE,FEMALE,,,,1.5,551,180,,275,102,60,59,30.1,18.25,,,,,,,,,,Orange,Red,10,164,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
62,1988-04-16,11:22,,LONG LAKE ,,ADULT,FEMALE,,,,1.5,568,185,,263,104,60,59,33.3,18.8,,,,,,,,,,Red,Red,173,174,,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,,,,No blood data,
63,1988-04-16,11:05,,LONG LAKE ,,ADULT,FEMALE,,,,1.55,580,182,,270,123,60,62,31.3,18.3,,,,,,,,,,Green,Yellow,383,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data. Ectoparasites - gut nematode!!,
64,1988-04-16,11:06,,LONG LAKE ,,ADULT,FEMALE,,,,1.575,541,182,,274,118,54,57,31.1,18.85,,,,,,,,,,,Red,,155,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
65,1988-04-16,11:50,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.35,,,,252,102,58,59,31.6,17.7,,,,,,,,,,Yellow,Yellow,,1157,,FALSE,FALSE,FALSE,,,TRUE,TRUE,FALSE,,,,NASTY BITCH!. No blood data. Body length - 382mm to pygostyle,
66,1988-04-16,11:35,,LONG LAKE ,,,FEMALE,,,,1.45,555,155,,253,100,59,62,33,18,,,,,,,,,,Purple,Yellow,537,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data,
67,1988-04-16,10:56,,LONG LAkE ,,ADULT,FEMALE,,,,1.7,572,198,,338,120,58,62,32.4,17.5,,,,,,,,,,Blue,Yellow,231,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data,
68,1988-04-16,10:40,,LONG LAkE ,,ADULT,FEMALE,,,,1.6,571,191,4,271,127,55,59,321,19.2,,,,,,,,,,Blue,Green,239,352,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,Lost several tail feathers,,,,
69,1988-04-16,10:26,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.5,563,177,,279,123,55,61,31.3,18.7,,,,,,,,,,Blue,Purple,236,553,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,Wrist (?) torn up,,,,
70,1988-04-16,10:11,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.475,361,,,259,130,50,69,30.2,18.1,,,,,,,,,,Blue,White,232,429,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,Wrists bloody,,,,
71,1988-04-16,9:54,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.6,408,38,,271,136,54,56,29.3,17.7,,,,,,,,,,Blue,Blue,226,230,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
72,1988-04-16,11:20,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.475,546,176,,329,118,57,56,33.7,18.2,,,,,,,,,,Purple,Red,532,187,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,No blood data,
73,1988-04-16,11:31,,LONG LAKE ,,ADULT,FEMALE ,,,,1.85,585,190,,282,132,56,56,32.7,25.2,,,,,,,,,,,Orange,,50,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,"Had real - trouble drawing blood, would not bleed",,
74,1988-04-16,6:55,,LONG LAKE ,,,FEMALE ,,,,1.65,525,187.5,,265,110,55,55,32.7,16.65,,,,,,+,,,,White,Green,650,1045,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data. ,68.1
75,1988-04-16,7:53,,LONG LAKE ,,,FEMALE ,,,,1.65,490,160,,270,115,55,52,33.1,18,,,,,,,,,,White,Blue,649,975,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,68.5
76,1988-04-16,12:22,,LONG LAKE ,,,FEMALE ,,,,1.6,525,195,,270,107,57.5,62.5,31.75,18.75,,,,,,,,,,Red,,874,,,TRUE,TRUE,TRUE,,,FALSE,TRUE,FALSE,,,,No blood data,
77,1988-04-16,11:40,,LONG LAKE ,,,FEMALE ,,,,1.85,540,190,,265,105,55,59.5,33,18.5,,,,,,,,,,Blue,,972,,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
78,1988-04-16,11:31,,LONG LAKE ,,,FEMALE ,,,,1.9,,,,,,,,,,,,,,,,,,,Green,Blue,374,287,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,,,,RECAP,
79,1988-04-16,11:11,,LONG LAKE ,,,FEMALE ,,,,1.65,480,185,,255,110,55,55,28.2,19.3,,,,,,,,,,Yellow,Blue,,246,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,RECAP,
80,1988-04-16,10:51,,LONG LAKE ,,,FEMALE ,,,,1.7,520,185,,255,110,55,56,32.2,18,,,,,,,,,,Green,,1046,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,
81,1988-04-16,10:56,,LONG LAKE ,,,FEMALE ,,,,1.6,532,195,,270,105,55,52,34.8,16.1,,,,,,,,,,Blue,Blue,974,973,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
82,1988-04-16,10:13,,LONG LAKE ,,,FEMALE ,,,,1.8,400,,,245,120,55,55,33.7,16.9,,,,,,,,,,White,White,636,637,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,No tail,,,,
83,1988-04-16,9:54,,LONG LAKE ,,,FEMALE ,,,,1.8,505,197,,270,123,60,57.5,34.9,18,,,,,,,,,,White,Yellow,642,1169,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
84,1988-04-16,9:49,,LONG LAKE ,,,FEMALE ,,,,1.8,,,,,,,,,,,,,,,,,,,White,Green,,1028,,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,Sore wing where blood was taken previously,,,RECAP,
85,1988-04-16,9:32,,LONG LAKE ,,,FEMALE ,,,,1.9,522.5,162.5,,256,122,57,55,34.2,19,,,,,,,,,,White ,Orange ,147,740,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,"Shot 9-23-88, Bill DeBerg. No blood data",
86,1988-04-16,9:15,,LONG LAKE ,,JUVENILE,FEMALE ,,,,1.6,490,150,,157.5,110,57.5,52,31.8,18,,,,,,,,,,White,Red,639,873,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
87,1988-04-16,8:11,,LONG LAKE ,,,FEMALE ,,,,1.8,530,200,,275,125,55,49,32.1,16.8,,,,,,,,,,Yellow,Purple,,539,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,RECAP. ,69.5
88,1988-04-15,4:30,,LONG LAKE ,,ADULT,FEMALE,,,,1.9,530,175,,260,130,55,53,32.5,18.2,,,,,,,,,,Orange,Blue,749,959,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
89,1988-04-20,4:06,,LONG LAKE ,,ADULT,FEMALE,,,,2.26796,555,209,,335,119,52,56,32.3,20.1,,,,,,,,,,,Yellow,,1189,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
90,1988-05-13,5:00,,LONG LAKE ,,ADULT,MALE,,,,3.15,774,309,19,312,136,70,73,40.9,21.6,23,Olive yellow,0,Bistre yellow,2,-,+,-,,Blue,Blue,956,1967,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
91,1988-05-13,7:20,,LONG LAKE ,,ADULT,FEMALE,,,,1.9,586,205,,267,103,60,63,32.5,18.7,,,,,,,,,,Orange,Orange ,731,734,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,injured at base of tail - lost blood,,,"large brood patch, took photos",
92,1988-05-13,4:50,,LONG LAKE ,,ADULT,MALE,,,,3.2,,,16,,,,,,,,,,,,,,,,Orange,Red,83,182,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,RECAP,
