"left_tag_code","left_tag_colour","left_tag_number","right_tag_code","right_tag_colour","right_tag_number","year","month","day","lek_name","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"WO1319",NA,"1319","W1414","white","1414","1990",4,"23","sybille_springs","adult","9","0.284722222","0.261111111","-0.023611111","1","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",4,"18","sybille_springs","adult","21","0.263888889","0.265277778","0.001388889","1","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",4,"30","sybille_springs","adult","3","0.275694444","0.254166667","-0.021527778","0","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",5,"06","sybille_springs","adult","9","0.24375","0.245833333","0.002083333","2","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",4,"17","sybille_springs","adult","0","0.294444444","0.265972222","-0.028472222","3","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",4,"24","sybille_springs","adult","25","0.273611111","0.259027778","-0.014583333","3","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",5,"13","sybille_springs","adult","28","0.233333333","0.239583333","0.00625","3","no","no","no"
"WO1319",NA,"1319","W1414","white","1414","1990",5,"10","sybille_springs","adult","30","0.24375","0.243055556","-0.000694444","2","no","no","no"
"WO1369",NA,"1369","B1627","blue","1627","1990",5,"06","sybille_springs","adult","11","0.239583333","0.245833333","0.00625","1","no","yes","yes"
"WO1369",NA,"1369","B1627","blue","1627","1990",4,"30","sybille_springs","adult","8","0.259722222","0.254166667","-0.005555556","0","no","yes","yes"
"WO1369",NA,"1369","B1627","blue","1627","1990",5,"03","sybille_springs","adult","0","0.2625","0.247916667","-0.014583333","0","no","yes","yes"
"WO1369",NA,"1369","B1627","blue","1627","1990",5,"08","sybille_springs","adult","2","0.234027778","0.244444444","0.010416667","3","no","yes","yes"
"WO1369",NA,"1369","B1627","blue","1627","1990",5,"10","sybille_springs","adult","26","0.24375","0.243055556","-0.000694444","2","no","yes","yes"
