,binder_pdf_scan_page,year,month,day,time_start,time_end,age,sex,lek_name,observer,capture_technique,left_tag_color,left_tag_number,left_tag_code,right_tag_color,right_tag_number,right_tag_code,wygf_leg_band,dominance,weight_bird_and_bag_kg,weight_bag_kg,weight_bird_kg,total_length_mm,tail_length_mm,num_tail_feathers,head_length_mm,wing_length_mm,bill_length_mm,bill_depth_mm,keel_length_mm,comb_length_mm,tarsus_length_mm,toe_length_mm,air_sac_color,comb_color,lice_back_of_head,num_lice_on_comb,num_lice_on_air_sac_left,num_lice_on_air_sac_right,total_num_lice_on_air_sacs,lice_ID_ifpresent,hematomas_combs,num_hematomas_on_comb_left,num_hematomas_on_comb_right,total_num_hematomas_on_combs,hematomas_comb_comments,hematomas_air_sacs,num_hematomas_on_air_sac_left,num_hematomas_on_air_sac_right,total_num_hematomas_on_air_sacs,hematomas_air_sacs_comments,hematoma_group,hematomas_applied,cut_feathers,collect,labelled,samples_collected_blood,blood_smear,blood_tryps,blood_malaria,blood_leuco,blood_haema,samples_collected_fecal,fecal_samples_mites,fecal_samples_spores,fecal_samples_coccidia,fecal_samples_comments,samples_collected_ectoparasites,samples_collected_cecal,hematocrit_cells_1,hematocrit_cells_2,hematocrit_plasma_1,hematocrit_plasma_2,hematocrit_total_1,hematocrit_total_2,slide_number,box_number,existing_injuries,handling_injury,stresses_while_handling_describe,comments
391,14,1989,4,1,3:45,4:00,adult,male,long_lake,White/Hutchinson,spotlight,white,672,W672,yellow,1234,Y1234,NA,NA,3.4,0.3,3.1,721,380,17,NA,318,40.2,22.1,157,28.35,62,68,bistre yellow,olive yellow,no,0,0,1,1,NA,no,0,0,0,NA,yes,6,10,16,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,no,15,16.5,13,15,28,31.5,NA,NA,Bruise rt air sac,no,Moderate breathing,No hematograms?
392,15,1989,4,2,2:08,2:23,adult,male,long_lake,White/Baunclier,NA,green,1576,G1576,white,1440,W1440,NA,NA,3.2,0.4,2.8,728,336,15,NA,307,42,22.3,141,28.2,62,67,yellow,olive yellow,no,0,0,0,0,NA,yes,2,0,2,NA,NA,NA,NA,NA,15 - 20 both,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,12,8.5,11.5,9,23.5,17.5,39+40,NA,None,None,High respir but flew at release,FIGHTER!!
393,16,1989,4,2,3:52,4:03,adult,male,long_lake,White/Baunclier,spotlight,orange,1317,O1317,white,1439,W1439,NA,NA,3.25,NA,NA,752,352,18,NA,330,40.2,24.1,175,24.2,68,68,yellow,bistre yellow,no,0,0,0,0,NA,yes,6,0,6,NA,NA,NA,NA,NA,5 - 10 each,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,10,12,6.5,8,16.5,20,35+36,NA,no,no,Moderate,NA
394,17,1989,4,2,4:33,4:46,adult,male,long_lake,White/Baunclier,spotlight,green,1579,G1579,blue,1651,B1651,NA,NA,3.4,0.4,3,736,362,18,NA,321,42.65,23.8,160,28.3,68,68,bistre yellow,olive yellow,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,10,11,9,11,19,22,NA,NA,No,no,NA,No blood parasites
395,18,1989,4,2,4:53,5:03,adult,male,long_lake,White/Baunclier,spotlight,white,1441,W1441,red,844,R844,NA,NA,3,0.3,2.7,718,342,18,NA,320,40.2,22.9,138,25.6,68,71,bistre yellow,olive yellow,no,0,1,1,2,NA,no,0,0,0,NA,NA,NA,NA,NA,15-20 each,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,no,NA,NA,NA,NA,no,no,14,NA,16,NA,30,NA,51+52,NA,Small scab left air sac,no,NA,"Values not incorrect, math is wrong on datasheet - values with incorrect math removed and replaced with NA."
396,19,1989,4,2,1:49,2:05,adult,male,long_lake,White/Baunclier,spotlight,red,840,R840,red,839,R839,NA,NA,3.45,0.5,2.95,747,331,16,NA,335,40.4,21.7,178,26.4,71,73,yellow,olive yellow,no,0,0,0,0,NA,no,0,0,0,NA,NA,NA,NA,NA,"2L, 0R",NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,10,14,9,13,19,27,43+44,NA,None,None,Slight,Recap RG (0883) + YG (0381)
397,20,1989,4,2,4:06,4:17,adult,male,long_lake,White/Baunclier,spotlight,yellow,163,Y163,red,865,R865,NA,NA,2.5,0.4,2.1,727,323,18,NA,324,40.25,23.1,167,25.5,70,68,chrome yellow,bistre yellow,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,16,13,16,14,32,27,41+42,NA,None,no,Moderate,RECAP 88
398,21,1989,4,2,4:19,4:30,juven,male,long_lake,White/Baunclier,spotlight,orange,1321,O1321,blue,1652,B1652,NA,NA,2.85,0.35,2.5,654,260,17,NA,302,41.15,20.55,162,25,67,66,bistre yellow,olive yellow,no,0,2,0,2,NA,NA,NA,NA,NA,Both on whole upper edge,NA,NA,NA,NA,Several on balls,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,3,NA,13,NA,16,NA,NA,NA,no,no,Moderate,NASTY!
399,22,1989,4,2,5:05,5:17,adult,male,long_lake,White/Baunclier,spotlight,green,1066,G1066,orange,705,O705,NA,NA,3.2,0.4,2.8,703,344,17,NA,341,40.4,21.5,143,26,67,65,chrome yellow,yellow olive,no,0,0,0,0,NA,no,0,0,0,NA,yes,1,1,2,NA,NA,NA,yes,yes,yes,yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,NA,no,no,19,13,15,10,34,23,53+54,NA,no,no,Slight,"No hematogram, Slide 15 x 139, 19.2 x 138.5, Very light infection"
400,23,1989,4,2,5:17,5:31,adult,male,long_lake,White/Baunclier,spotlight,red,843,R843,blue,1611,B1611,NA,NA,3.3,0.4,2.9,761,319,19,NA,355,39.8,27.2,147,25.1,69,65,bistre yellow,olive yellow,no,0,0,0,0,NA,NA,NA,NA,NA,NA,yes,5,5,10,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,10,11,9,10,19,21,NA,NA,"Tumor on right comb, bruise left air sac",no,NA,NA
