,binder_pdf_scan_page,year,month,day,time_start,time_end,age,sex,lek_name,observer,capture_technique,left_tag_color,left_tag_number,left_tag_code,right_tag_color,right_tag_number,right_tag_code,wygf_leg_band,dominance,weight_bird_and_bag_kg,weight_bag_kg,weight_bird_kg,total_length_mm,tail_length_mm,num_tail_feathers,head_length_mm,wing_length_mm,bill_length_mm,bill_depth_mm,keel_length_mm,comb_length_mm,tarsus_length_mm,toe_length_mm,air_sac_color,comb_color,lice_back_of_head,num_lice_on_comb,num_lice_on_air_sac_left,num_lice_on_air_sac_right,total_num_lice_on_air_sacs,lice_ID_ifpresent,hematomas_combs,num_hematomas_on_comb_left,num_hematomas_on_comb_right,total_num_hematomas_on_combs,hematomas_comb_comments,hematomas_air_sacs,num_hematomas_on_air_sac_left,num_hematomas_on_air_sac_right,total_num_hematomas_on_air_sacs,hematomas_air_sacs_comments,hematoma_group,hematomas_applied,cut_feathers,collect,labelled,samples_collected_blood,blood_smear,blood_tryps,blood_malaria,blood_leuco,blood_haema,samples_collected_fecal,fecal_samples_mites,fecal_samples_spores,fecal_samples_coccidia,fecal_samples_comments,samples_collected_ectoparasites,samples_collected_cecal,hematocrit_cells_1,hematocrit_cells_2,hematocrit_plasma_1,hematocrit_plasma_2,hematocrit_total_1,hematocrit_total_2,slide_number,box_number,existing_injuries,handling_injury,stresses_while_handling_describe,comments
329,NA,1988,4,16,4:15,NA,adult,male,sybille_springs,NA,NA,yellow,NA,YNO,purple,534,P534,NA,NA,NA,NA,3.15,790,334,20,NA,314,38.9,21.4,126,23.3,72,71,bistre yellow,olive yellow,no,0,NA,NA,5,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shot 9-26-88 (?) area 28, legal harvest"
330,NA,1988,4,16,4:00,NA,adult,male,sybille_springs,NA,NA,yellow,NA,YNO,white,435,W435,NA,NA,NA,NA,3.2,728,275,11,NA,303,39,22.5,130,24.8,71,71,bistre yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,NA,1988,4,16,3:00,NA,adult,male,sybille_springs,NA,NA,yellow,NA,YNO,green,364,G364,NA,NA,NA,NA,2.95,740,283,20,NA,310,39.2,21.4,122,25.7,72,70,chrome yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,NA,1988,4,16,2:35,NA,adult,male,sybille_springs,NA,NA,yellow,NA,YNO,red,129,R129,NA,NA,NA,NA,3.15,790,308,20,NA,318,38.8,20.6,127,22.5,70,71,yellow,apple green,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,1988,4,16,2:00,NA,adult,male,sybille_springs,NA,NA,yellow,NA,YNO,orange,59,O59,NA,NA,NA,NA,3.2,764,283,17,NA,320,40.3,22.3,136,22.8,69,70,bistre yellow,yellow olive,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no blood data
334,NA,1988,4,17,9:02,NA,NA,male,sybille_springs,NA,NA,orange,732,O732,green,1030,G1030,NA,NA,NA,NA,3.2,730,310,18,NA,305,39.8,19,145,29.8,65,67.5,greenish yellow,yellow olive,no,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No blood data. Tag found late may 1990, presumed dead. Lice found on air sac but no number indicated, so replaced with NA."
335,NA,1988,4,18,7:30,NA,adult,male,sybille_springs,NA,cannon net,white,488,W488,white,487,W487,NA,NA,NA,NA,3.15,721,328,19,NA,306,39.7,22.3,174,24.1,65,74,olive yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scratch on right air sac,NA,NA,Recap 1987. Got 1 copulation prior to firing cannon net
336,NA,1988,4,19,3:43,NA,adult,male,sybille_springs,NA,NA,white,618,W618,yellow,1188,Y1188,NA,NA,NA,NA,3.2,746,342,18,NA,375,40.15,22.4,159,26.2,65,64,bistre yellow,yellow olive,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middle five (?) broken in half.,NA,NA,No blood data. Nice even color on air sac.
337,NA,1988,4,19,4:03,NA,adult,male,sybille_springs,NA,NA,white,619,W619,orange,725,O725,NA,NA,NA,NA,3,780,309,16,NA,389,40.6,23.5,138,24.6,62,67,bistre yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midding middle and right side tail feathers,NA,NA,NA
338,NA,1988,4,16,3:40,NA,juven,female,sybille_springs,NA,NA,yellow,NA,YNO,blue,233,B233,NA,NA,NA,NA,1.8,590,193,NA,NA,263,32,19,111,NA,61,61,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,NA,1988,4,16,3:25,NA,adult,female,sybille_springs,NA,NA,yellow,NA,YNO,purple,546,P546,NA,NA,NA,NA,1.65,570,178,NA,NA,254,31.6,18.4,106,NA,62,64,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,NA,1988,4,18,7:30,NA,juven,female,sybille_springs,NA,NA,orange,748,O748,orange,726,O726,NA,NA,NA,NA,1.65,526,186,NA,NA,261,33.3,19.3,142,NA,52,54,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing several tail feathers,NA,NA,No blood data.
341,NA,1988,4,18,7:50,NA,juven,female,sybille_springs,NA,NA,blue,970,B970,blue,971,B971,NA,NA,NA,NA,1.85,474,115,NA,NA,267,32.3,17.9,129,NA,55,59,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tail bloody,NA,NA,NA
342,NA,1988,4,18,8:10,NA,juven,female,sybille_springs,NA,NA,green,1033,G1033,green,1034,G1034,NA,NA,NA,NA,1.8,428,62,NA,NA,262,33.35,17.9,136,NA,51,53,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,NA,1988,4,18,8:25,NA,juven,female,sybille_springs,NA,NA,red,871,R871,red,870,R870,NA,NA,NA,NA,1.65,535,161,NA,NA,259,34,18.95,124,NA,50,54,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,NA,1988,4,18,8:40,NA,juven,female,sybille_springs,NA,NA,blue,969,B969,red,869,R869,NA,NA,NA,NA,1.7,571,186,NA,NA,267,33.2,18.6,154,NA,53,58,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,NA,1988,4,19,3:24,NA,adult,female,sybille_springs,NA,NA,white,616,W616,white,621,W621,NA,NA,NA,NA,2,542,202,NA,NA,340,31.35,18.6,147,NA,54,53,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no blood data
346,1,1988,4,18,1:00,NA,NA,male,viewpoint,NA,NA,red,851,R851,red,852,R852,NA,NA,NA,NA,2.35,645,254,18,NA,314,37.4,21.95,167,27,73,62,bistre yellow,olive yellow,no,0,2,1,3,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feisty - he bit me
347,2,1988,4,18,1:55,NA,adult,male,viewpoint,NA,NA,red,854,R854,red,961,R961,NA,NA,NA,NA,3.2,765,357,18,NA,328,40.55,23.2,161,28.2,67,71,bistre yellow,yellow olive,no,0,16,3,19,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,gap in tail feathers,NA,NA,Maybe master cock?
348,3,1988,4,18,1:35,NA,adult,male,viewpoint,NA,NA,red,853,R853,green,1040,G1040,NA,NA,NA,NA,3.15,746,304,10,NA,321,40.5,21.2,169,25.3,69,69,bistre yellow,olive yellow,no,0,0,1,1,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Combs very wide - very thick neck; maybe master cock
349,4,1988,4,18,2:20,NA,adult,male,viewpoint,NA,NA,red,855,R855,white,646,W646,NA,NA,NA,NA,3.45,771,315,18,NA,310,42.7,23.65,163,27.85,71,67,bistre yellow,yellow olive,no,0,0,2,2,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Big A-- Bird!!
350,5,1988,4,20,1:50,NA,NA,male,viewpoint,NA,NA,red,NA,R,white,NA,W,NA,NA,NA,NA,3.76482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recap 88. Also saw R/B, but did not catch (male)"
351,6,1988,4,20,2:11,NA,NA,male,viewpoint,NA,NA,green,1097,G1097,green,1099,G1099,NA,NA,NA,NA,3.19329,705,261,17,NA,321,41.3,23.45,160,23.05,66,71,chrome yellow,yellow olive,no,0,3,4,7,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing some middle tail feathers,NA,NA,Air sacs very small and gray
352,7,1988,5,10,7:05,NA,adult,male,viewpoint,NA,NA,yellow,1136,Y1136,orange,752,O752,NA,NA,NA,NA,3.4473,727,318,19,NA,311,40.5,24.1,138,23.05,70,69,bistre yellow,olive yellow,yes,0,0,0,0,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,+ 1 on each sac,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middle toe nail - right foot - missing,NA,NA,No blood data
353,9,1988,5,10,7:35,NA,adult,male,viewpoint,NA,NA,red,853,R853,green,1040,G1040,NA,NA,NA,NA,3.53802,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,0,0,0,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,no,no,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAP
354,10,1988,5,10,7:45,NA,NA,male,viewpoint,NA,NA,yellow,1134,Y1134,green,1088,G1088,NA,NA,NA,NA,2.54012,679,243,20,NA,321,38.6,22.75,166,23.6,67,67,bistre yellow,olive yellow,NA,0,NA,NA,NA,NA,yes,NA,NA,NA,? Left,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lots of tail feathers broken and worn, tears in left air sac",NA,NA,no blood data
355,11,1988,4,18,1:20,NA,NA,female,viewpoint,NA,NA,blue,976,B976,white,638,W638,NA,NA,NA,NA,1.95,544,186,NA,NA,267,32.3,19.05,131,NA,55,57,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,1,1988,4,4,7:30,NA,adult,male,south_fetterman,NA,NA,yellow,NA,Y,green,386,G386,NA,NA,NA,NA,3.05,670,319,18,NA,300,38.521,19.75,135,22,75,70,bistre yellow,olive yellow,no,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lice found on air sac but no number indicated, replaced with NA"
357,3,1988,4,5,7:00,NA,adult,male,south_fetterman,NA,NA,green,385,G385,blue,250,B250,NA,NA,NA,NA,3.3,745,345,15,NA,300,37.55,20.81,160,22.88,72,73,bistre yellow,bistre yellow,no,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None on back or head. Lice found on air sac but no number indicated, replaced with NA"
358,4,1988,4,5,8:00,NA,adult,male,south_fetterman,NA,NA,white,434,W434,red,167,R167,NA,NA,NA,NA,2.6,742,327,17,76.95,315,36.34,21.61,106,23.46,60,62,bistre yellow,olive yellow,yes,0,0,0,0,NA,yes,NA,NA,NA,lots at edge,yes,NA,NA,NA,big area on left,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,5,1988,4,6,1:50,NA,adult,male,south_fetterman,NA,night lighting,white,469,W469,orange,80,O80,NA,NA,NA,NA,2.875,721,303,17,78.9,317,35.5,23.05,144,21.15,69,60,bistre yellow,olive yellow,no,0,16,4,20,NA,yes,NA,NA,NA,around edges,yes,NA,NA,NA,"bottom edge of left, right sac",NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,6,1988,4,15,3:48,NA,juven,male,south_fetterman,NA,NA,purple,551,P551,green,366,G366,NA,NA,NA,NA,3.71946,708,299,16,NA,307,39.5,23.1,157,25.1,70,69,bistre yellow,olive yellow,no,0,NA,NA,2,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,7,1988,4,15,4:09,NA,juven,male,south_fetterman,NA,NA,red,177,R177,blue,249,B249,NA,NA,NA,NA,3.76482,752,321,17,NA,296,37.8,22.4,160,27.05,67,66,bistre yellow,olive yellow,no,0,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Huge scab on left air sac,NA,NA,NA
362,12,1988,4,15,4:30,NA,adult,female,south_fetterman,NA,NA,green,367,G367,orange,47,O47,NA,NA,NA,NA,2.26796,542,172,NA,NA,266,32.2,17.85,135,NA,60,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
363,NA,1988,4,12,6:35,NA,adult,male,mule_creek,NA,NA,blue,228,B228,blue,227,B227,NA,NA,NA,NA,3.2,736,296,20,NA,296,40.65,22.95,141,27.65,70,69,bistre yellow,olive yellow,no,1,0,0,0,NA,yes,NA,NA,NA,1,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,1988,4,12,6:50,NA,adult,male,mule_creek,NA,NA,green,333,G333,green,361,G361,NA,NA,NA,NA,3,751,307,17,NA,311,38.85,22.95,142,21.95,73,70,bistre yellow,"sage green, yellow olive",no,0,0,0,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,rt. Sac,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,NA,1988,4,21,5:35,NA,adult,male,mule_creek,NA,NA,blue,949,B949,orange,763,O763,NA,NA,NA,NA,3.1,786,312,19,NA,292,38.45,22.83,139,22.9,68,68,chrome yellow,olive yellow,no,0,0,0,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,left,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Even sac color
366,NA,1988,4,21,5:25,NA,adult,male,mule_creek,NA,NA,blue,908,B908,yellow,1139,Y1139,NA,NA,NA,NA,2.8,722,263,17,NA,NA,36.9,22.02,130,21.4,69,67,bistre yellow,greenish yellow,no,0,0,0,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,NA,1988,4,21,5:00,NA,adult,male,mule_creek,NA,NA,white,694,W694,white,689,W689,NA,NA,NA,NA,3.1,719,297,18,NA,304,39.9,23.1,138,23.15,69,68,bistre yellow,olive yellow,no,0,0,0,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sore below left air sac, fresh blood",NA,NA,NA
368,NA,1988,4,21,4:50,NA,adult,male,mule_creek,NA,NA,red,894,R894,red,805,R805,NA,NA,NA,NA,3.2,783,327,20,NA,309,39.8,25.45,142,20.6,70,66,bistre yellow,olive yellow,yes,0,NA,NA,1,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,NA,1988,4,21,3:45,NA,adult,male,mule_creek,NA,NA,yellow,1106,Y1106,yellow,1135,Y1135,NA,NA,NA,NA,3.15,818,358,22,NA,312,39.05,23.1,140,25.8,68,75,bistre yellow,olive yellow,no,0,0,0,0,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both sacs bistre yellow
370,NA,1988,4,21,3:03,NA,adult,male,mule_creek,NA,NA,green,NA,G,green,NA,G,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAP
371,NA,1988,4,12,7:10,NA,adult,female,mule_creek,NA,NA,orange,49,O49,orange,61,O61,NA,NA,NA,NA,1.7,568,185,NA,NA,261,35.46,19.85,111,NA,55,64,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,1988,4,12,6:05,NA,adult,female,mule_creek,NA,NA,green,358,G358,green,339,G339,NA,NA,NA,NA,1.6,554,218,NA,NA,270,31.2,16.32,119,NA,51,55,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,1988,4,21,3:30,NA,juven,female,mule_creek,NA,NA,blue,980,B980,blue,902,B902,NA,NA,NA,NA,1.5,534,186,NA,NA,259,31.55,17.4,117,NA,57,61,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,1,1989,4,8,2:52,3:05,adult,male,cordingly,White/Koeppen,spotlight,red,1717,R1717,yellow,1249,Y1249,NA,NA,3.1,0.3,2.8,756,329,18,NA,324,40.1,21.8,161,25.75,69,72,bistre yellow,yellow olive,no,0,0,0,0,NA,yes,2,2,4,2 each on upper edge,yes,0,2,2,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,18,19,9,12,27,31,NA,NA,NA,no,NA,No malaria
375,2,1989,4,6,2:15,2:29,juven,male,cordingly,White,spotlight,blue,1653,B1653,orange,1313,O1313,NA,NA,2.8,0.4,2.4,692,271,18,NA,311,39.85,23.1,141,21.15,66,64,yellow,olive yellow,yes,0,2,0,2,NA,yes,3,2,5,NA,yes,5,5,10,NA,NA,NA,yes,no,no,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,yes,no,18.5,18,14.5,14,33,32,99+100,NA,Bruise on left air sac,NA,NA,Box 2. No infection
376,3,1989,4,8,3:08,3:18,adult,female,cordingly,White/Koeppen,spotlight,yellow,1227,Y1227,yellow,1245,Y1245,NA,NA,2,0.3,1.7,569,221,NA,NA,279,33.35,19.8,115,NA,57,56,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,6.5,5.5,8.5,7.5,15,13,NA,NA,no,no,NA,No malaria
377,4,1989,3,31,2:45,3:00,adult,female,cordingly,White/Wilson,spotlight,green,1577,G1577,green,1578,G1578,NA,NA,2,0.35,1.65,580,244,NA,NA,280,32.1,19.7,121,NA,47,55,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,NA,no,no,11,10.5,9,8.5,20,20,59+60,NA,None,None,Moderate,Box 2 59 (infected) + 60 (infected). Light infection
378,1,1989,3,23,3:51,4:07,adult,male,long_lake,White,spotlight,blue,950,B950,white,658,W658,NA,NA,3.25,0.35,2.9,756,334,17,NA,336,40.95,23.15,149,23.6,65,69,chrome yellow,olive yellow,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,no,no,no,no,NA,NA,no,NA,NA,no,NA,NA,NA,NA,no,no,14,19,11,9,25,28,19+20,NA,None,None,Minimal,NA
379,2,1989,3,23,3:32,3:48,adult,male,long_lake,White,spotlight,red,887,R887,green,1098,G1098,NA,NA,3.3,0.3,3,770,331,18,NA,316,42.75,24.8,162,23.9,71,68,bistre yellow,yellow olive,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,no,no,no,no,NA,NA,no,NA,NA,no,NA,NA,NA,NA,no,no,8,10,10,11,18,21,5+6,NA,None,None,Moderate,NA
380,3,1989,3,23,2:10,2:28,adult,male,long_lake,White,spotlight,blue,945,B945,orange,791,O791,NA,NA,3.2,0.35,2.85,765,346,16,NA,331,39.55,20.75,174,24.1,69,66,yellow,olive yellow,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,no,no,no,no,NA,NA,no,NA,NA,no,NA,NA,NA,NA,no,no,5,7,9,11,14,18,11+12,NA,See notes,None,Minimal,Left air sac -> fresh hole
